Window_Index,Chromosome,Window_Start,Window_End,Window_Middle,Window_Size,N_SNPs,HN1_Similarity,HD_Similarity,HD_vs_N1_Wilcox_W,HD_vs_N1_Wilcox_p,HD_vs_N1_Wilcox_conf_low,HD_vs_N1_Wilcox_conf_high,HD_vs_N1_Perm_p
1,4,71403453,71423453,71413453,20000,36,0.46,0.4375,16,0.0933618936823273,-0.144907419457876,0.0999074194578759,0.608
2,4,71405453,71425453,71415453,20000,42,0.548387096774194,0.5,20,0.2188334609288,-0.112932199093911,0.0161580055455236,0.067
3,4,71407453,71427453,71417453,20000,44,0.588709677419355,0.546875,12,0.0336488040057491,-0.0837180929021663,-0.0191176470761608,0.369
4,4,71409453,71429453,71419453,20000,44,0.609375,0.568181818181818,12,0.0336488040057491,-0.0814503026809647,-0.0189029099795843,0.275
5,4,71411453,71431453,71421453,20000,47,0.609375,0.556451612903226,12,0.0336488040057491,-0.105926427273544,-0.0120532913733426,0.349
6,4,71413453,71433453,71423453,20000,48,0.596774193548387,0.575,36,0.702998025125648,-0.0763460040644375,0.0204469197094117,0.654
7,4,71415453,71435453,71425453,20000,47,0.577586206896552,0.553571428571428,36,0.702998025125648,-0.0825575064921197,0.0209607945099231,0.606
8,4,71417453,71437453,71427453,20000,49,0.564516129032258,0.575,36,0.702998025125648,-0.0440879395483085,0.0527049842255408,0.82
9,4,71419453,71439453,71429453,20000,47,0.616666666666667,0.598214285714286,36,0.702998025125648,-0.0571768084284679,0.0143289556157905,0.6
10,4,71421453,71441453,71431453,20000,50,0.664285714285714,0.590909090909091,12,0.0336488040057491,-0.106501155390325,-0.0458863674057618,0.405
11,4,71423453,71443453,71433453,20000,54,0.64375,0.567567567567568,20,0.2188334609288,-0.182434446115524,0.0277457650070429,0.379
12,4,71425453,71445453,71435453,20000,50,0.590909090909091,0.558333333333333,24,0.364020640474181,-0.0666804962489849,3.61037385118835e-05,0.588
13,4,71427453,71447453,71437453,20000,47,0.578125,0.537037037037037,12,0.0303283399508356,-0.0672025865476994,-0.0323807286017477,0.441
14,4,71429453,71449453,71439453,20000,54,0.572368421052632,0.507575757575758,12,0.0370661350414909,-0.128433901123214,-0.0151457473016188,0.134
15,4,71431453,71451453,71441453,20000,50,0.583333333333333,0.5,12,0.0336488040057491,-0.101031930346719,-0.0580758796847327,0.055
16,4,71433453,71453453,71443453,20000,51,0.631578947368421,0.485714285714286,4,0.00327753032107902,-0.1767686125174,-0.121772932742527,0
17,4,71435453,71455453,71445453,20000,50,0.631578947368421,0.5,12,0.0370661350414909,-0.160831379397099,-0.106698825785702,0.003
18,4,71437453,71457453,71447453,20000,58,0.573863636363636,0.447674418604651,8,0.0119799512137343,-0.172863064412481,-0.0808266221471097,0.006
19,4,71439453,71459453,71449453,20000,71,0.486363636363636,0.399122807017544,14,0.0652856489280541,-0.178945236454041,0.00224605352833756,0.029
20,4,71441453,71461453,71451453,20000,64,0.448979591836735,0.392156862745098,17,0.12640476834512,-0.176149717929253,0.0632683305284524,0.202
21,4,71443453,71463453,71453453,20000,62,0.394444444444444,0.369791666666667,25,0.49324286113932,-0.195879220672733,0.147193503782314,0.644
22,4,71445453,71465453,71455453,20000,67,0.360576923076923,0.334905660377358,21,0.268381627292761,-0.177817348080632,0.126579762001119,0.605
23,4,71447453,71467453,71457453,20000,73,0.406779661016949,0.338983050847458,16,0.101528884891803,-0.20348371902644,0.0678904986874572,0.147
24,4,71449453,71469453,71459453,20000,65,0.370192307692308,0.331730769230769,17.5,0.136480863490069,-0.0960972010543961,0.0192218543644311,0.145
25,4,71451453,71471453,71461453,20000,69,0.37280701754386,0.337719298245614,16,0.0994920405687986,-0.0877031689981564,0.0175334250317105,0.142
26,4,71453453,71473453,71463453,20000,76,0.412698412698413,0.385245901639344,14,0.0650867264927668,-0.0679005119079313,0.0125205539901921,0.112
27,4,71455453,71475453,71465453,20000,76,0.407692307692308,0.370967741935484,17,0.126966318911019,-0.0767267252327354,0.00401401307991911,0.059
28,4,71457453,71477453,71467453,20000,70,0.454918032786885,0.399122807017544,7,0.00986242459212305,-0.104672812528537,-0.00634061665763779,0.009
29,4,71459453,71479453,71469453,20000,58,0.470588235294118,0.402173913043478,8,0.0131768134748846,-0.120613955906189,-0.020395616110209,0.014
30,4,71461453,71481453,71471453,20000,66,0.474137931034483,0.415094339622642,10,0.0230235320348373,-0.105360726274994,-0.0159221800657126,0.017
31,4,71463453,71483453,71473453,20000,64,0.483050847457627,0.415094339622642,6,0.00701911854449577,-0.11413491398176,-0.0255571818755813,0.006
32,4,71465453,71485453,71475453,20000,59,0.509615384615385,0.4375,9,0.0171208341351673,-0.123396442068465,-0.0240030838172073,0.007
33,4,71467453,71487453,71477453,20000,61,0.478019323671498,0.446428571428571,16,0.101274483487557,-0.0840841085826646,0.0111405666859774,0.118
34,4,71469453,71489453,71479453,20000,77,0.523867924528302,0.478404255319149,12,0.0389535432708663,-0.0839564066359543,-1.02596879911638e-05,0.016
35,4,71471453,71491453,71481453,20000,75,0.539828431372549,0.482638888888889,8,0.0119799512137343,-0.104552853977873,-0.0208272341739678,0.004
36,4,71473453,71493453,71483453,20000,69,0.498104145601618,0.486904761904762,26,0.559157294390959,-0.0911066431565898,0.0692625142695371,0.661
37,4,71475453,71495453,71485453,20000,77,0.568190737833595,0.568485086342229,34,0.870605366520105,-0.0463295467057645,0.0462498158480001,0.943
38,4,71477453,71497453,71487453,20000,77,0.564950980392157,0.555147058823529,29,0.79016371862409,-0.0392044534460556,0.0209024268062267,0.64
39,4,71479453,71499453,71489453,20000,75,0.585069444444444,0.596180555555555,36,0.703221575788417,-0.0208192265512798,0.0444535696054379,0.674
40,4,71481453,71501453,71491453,20000,71,0.584920634920635,0.61984126984127,47,0.122741385890068,-0.0063683690035516,0.0746387895819216,0.197
41,4,71483453,71503453,71493453,20000,68,0.646978021978022,0.668023255813953,46,0.151662329115784,-0.0178724845958923,0.0596452684766593,0.307
42,4,71485453,71505453,71495453,20000,70,0.668019480519481,0.709948320413437,52,0.0383702404838293,0.00760537572950106,0.0780961275140228,0.048
43,4,71487453,71507453,71497453,20000,65,0.692270531400966,0.71286231884058,52,0.0337893410023737,5.40421940760315e-05,0.0434542530627067,0.018
44,4,71489453,71509453,71499453,20000,50,0.662311265969802,0.699612403100775,50,0.0595440635584415,-7.66760499667617e-05,0.0867454003227895,0.048
45,4,71491453,71511453,71501453,20000,51,0.664313399778516,0.712209302325581,50,0.0567961259045559,-4.37067771114923e-05,0.107142494456423,0.038
46,4,71493453,71513453,71503453,20000,53,0.614164904862579,0.656565656565657,48,0.0997468455539009,-0.0682185513729879,0.153053090112058,0.285
47,4,71495453,71515453,71505453,20000,45,0.54551920341394,0.585526315789474,44,0.222324820833816,-0.081065350902693,0.162149986273932,0.438
48,4,71497453,71517453,71507453,20000,45,0.518847795163585,0.612197724039829,45,0.183687568478284,-0.0270160470883694,0.216204330747519,0.081
49,4,71499453,71519453,71509453,20000,48,0.540940766550523,0.625290360046458,45,0.183687568478284,-0.0575174908748472,0.226483269208481,0.163
50,4,71501453,71521453,71511453,20000,53,0.526767676767677,0.581280193236715,44,0.222324820833816,-0.111122822480061,0.21941162269247,0.377
51,4,71503453,71523453,71513453,20000,58,0.528979591836735,0.578039215686275,44,0.222324820833816,-0.120057054240866,0.216943203195769,0.507
52,4,71505453,71525453,71515453,20000,71,0.520161290322581,0.57258064516129,44,0.225776808332704,-0.080633710895425,0.193485328090753,0.39
53,4,71507453,71527453,71517453,20000,79,0.460144927536232,0.514492753623188,48,0.100001594907253,-0.0290120164008767,0.130456170033654,0.101
54,4,71509453,71529453,71519453,20000,81,0.455882352941176,0.507462686567164,57,0.00969952146257284,0.00728320787428286,0.0814228085369836,0.003
55,4,71511453,71531453,71521453,20000,80,0.432835820895522,0.484848484848485,57,0.00969952146257284,0.00704832147459074,0.0822981973167358,0.008
56,4,71513453,71533453,71523453,20000,75,0.444444444444444,0.5,64,0.000785338146016317,0.0396310287729026,0.0716420211405036,0
57,4,71515453,71535453,71525453,20000,74,0.44758064516129,0.504098360655738,64,0.000792588134050376,0.0402168287334294,0.0727149292767927,0
58,4,71517453,71537453,71527453,20000,73,0.439516129032258,0.495901639344262,62,0.00174501183646383,0.0399052435557991,0.0727577045809003,0
59,4,71519453,71539453,71529453,20000,70,0.435344827586207,0.469298245614035,49,0.082216838812354,-0.00996861283357866,0.0777092408096191,0.104
60,4,71521453,71541453,71531453,20000,69,0.483050847457627,0.508771929824561,44,0.222324820833816,-0.0167057421585365,0.0681218729075776,0.231
61,4,71523453,71543453,71533453,20000,65,0.467592592592593,0.495192307692308,37,0.635506557093934,-0.0726061143137072,0.131065543754432,0.542
62,4,71525453,71545453,71535453,20000,48,0.42948717948718,0.421052631578947,32,1,-0.146380161053139,0.140319557467724,0.875
63,4,71527453,71547453,71537453,20000,38,0.475806451612903,0.466666666666667,30,0.873528136041461,-0.0817390773133045,0.0806100944075774,0.797
64,4,71529453,71549453,71539453,20000,34,0.491666666666667,0.475,27,0.627500806111435,-0.0667143547294684,0.0333583849282363,0.611
65,4,71531453,71551453,71541453,20000,34,0.53448275862069,0.5,28,0.702998025125648,-0.103543424393283,0.0345779071519039,0.175
66,4,71533453,71553453,71543453,20000,36,0.484375,0.453125,28,0.702998025125648,-0.093836228356413,0.031336228356413,0.325
67,4,71535453,71555453,71545453,20000,35,0.483870967741935,0.466666666666667,32,1,-0.0838709677419355,0.0494623655913978,0.531
68,4,71537453,71557453,71547453,20000,38,0.492647058823529,0.416666666666667,26,0.550332581749787,-0.166689465641008,0.0151922867765013,0.073
69,4,71539453,71559453,71549453,20000,37,0.477941176470588,0.4296875,29,0.78351456557575,-0.126844192655507,0.0294371884121126,0.097
70,4,71541453,71561453,71551453,20000,33,0.387931034482759,0.324074074074074,26,0.550332581749787,-0.157144586970101,0.0281312664213482,0.079
71,4,71543453,71563453,71553453,20000,33,0.391666666666667,0.324074074074074,26,0.550332581749787,-0.140750343713177,0.00741396643104037,0.051
72,4,71545453,71565453,71555453,20000,32,0.431034482758621,0.365384615384615,24,0.422589696846618,-0.144527071866355,0.0132273371183446,0.068
73,4,71547453,71567453,71557453,20000,29,0.442307692307692,0.391304347826087,24,0.422589696846618,-0.118700708576154,0.0166940196129428,0.084
74,4,71549453,71569453,71559453,20000,30,0.472222222222222,0.40625,16,0.100001594907253,-0.143522762553941,0.00466499915249902,0.076
75,4,71551453,71571453,71561453,20000,33,0.491935483870968,0.43,16,0.0992371806391279,-0.148373131960842,0.0451108273420684,0.113
76,4,71553453,71573453,71563453,20000,34,0.5390625,0.528846153846154,27,0.63143958164679,-0.0866012138179882,0.093748942781134,0.77
77,4,71555453,71575453,71565453,20000,40,0.532894736842105,0.568181818181818,36,0.710327103324717,-0.112400193883263,0.177108597588993,0.516
78,4,71557453,71577453,71567453,20000,42,0.5875,0.585714285714286,32,1,-0.235684481550473,0.207170689452995,0.966
79,4,71559453,71579453,71569453,20000,45,0.601190476190476,0.585526315789474,32,1,-0.259388374457184,0.205446708089798,0.82
80,4,71561453,71581453,71571453,20000,44,0.621951219512195,0.625,32,1,-0.225837806181212,0.220711023920418,0.948
81,4,71563453,71583453,71573453,20000,49,0.636363636363636,0.640243902439024,32,1,-0.208464583746694,0.223413557615128,0.966
82,4,71565453,71585453,71575453,20000,55,0.661764705882353,0.611702127659574,32,1,-0.245767212913012,0.14804901075401,0.499
83,4,71567453,71587453,71577453,20000,59,0.660377358490566,0.591836734693878,30,0.874367061162892,-0.257233344550432,0.123202326155746,0.318
84,4,71569453,71589453,71579453,20000,64,0.655172413793103,0.608490566037736,32,1,-0.223789294169642,0.121018662732407,0.466
85,4,71571453,71591453,71581453,20000,62,0.669642857142857,0.615740740740741,32,1,-0.246034835074259,0.146118539597067,0.455
86,4,71573453,71593453,71583453,20000,61,0.679245283018868,0.605769230769231,30,0.874459248105127,-0.234041253702239,0.105582206927883,0.274
87,4,71575453,71595453,71585453,20000,61,0.711538461538462,0.605,23,0.370618339817195,-0.245424693902232,0.0646039552566861,0.111
88,4,71577453,71597453,71587453,20000,59,0.707446808510638,0.625,20,0.225776808332704,-0.221096096836306,0.0577826303579755,0.183
89,4,71579453,71599453,71589453,20000,55,0.721590909090909,0.633720930232558,18,0.155034372509192,-0.236334789525975,0.0396841213353322,0.199
90,4,71581453,71601453,71591453,20000,55,0.732558139534884,0.619047619047619,18,0.155034372509192,-0.268533720997819,0.0403625076476003,0.118
91,4,71583453,71603453,71593453,20000,51,0.74390243902439,0.585365853658537,12,0.0385158566153217,-0.219546335054911,-0.121924721229912,0.044
92,4,71585453,71605453,71595453,20000,47,0.707142857142857,0.625,12,0.0386616129750235,-0.133383785236491,-0.049156469759271,0.287
93,4,71587453,71607453,71597453,20000,47,0.702702702702703,0.651315789473684,12,0.0386616129750235,-0.100308445170844,-0.0205389223032507,0.539
94,4,71589453,71609453,71599453,20000,43,0.71969696969697,0.595588235294118,12,0.0380794320277445,-0.201386767897989,-0.0819810140148515,0.153
95,4,71591453,71611453,71601453,20000,41,0.709677419354839,0.59375,16,0.100001594907253,-0.245989730693253,0.0090785245908186,0.102
96,4,71593453,71613453,71603453,20000,38,0.716666666666667,0.591666666666667,12,0.0380794320277445,-0.233377871028436,-0.0332774557575759,0.084
97,4,71595453,71615453,71605453,20000,32,0.72,0.557692307692308,12,0.0385158566153217,-0.295397724065012,-0.0230514218275407,0.021
98,4,71597453,71617453,71607453,20000,28,0.729166666666667,0.552083333333333,12,0.0359169860663286,-0.333401806140269,-8.62780818393556e-06,0.017
99,4,71599453,71619453,71609453,20000,34,0.733333333333333,0.575,12,0.0385158566153217,-0.266681236814968,-0.0665881170080418,0.026
100,4,71601453,71621453,71611453,20000,36,0.720588235294118,0.606060606060606,12,0.0385158566153217,-0.216633081069503,-0.0374240980881136,0.11
101,4,71603453,71623453,71613453,20000,35,0.7109375,0.637096774193548,12,0.0336488040057491,-0.102872029074347,-0.0493936558404378,0.342
102,4,71605453,71625453,71615453,20000,36,0.7265625,0.620967741935484,12,0.0370661350414909,-0.166399883525609,-0.0715305288352676,0.137
103,4,71607453,71627453,71617453,20000,40,0.735714285714286,0.580882352941177,12,0.0370661350414909,-0.268098100186972,-0.0655004175609049,0.04
104,4,71609453,71629453,71619453,20000,38,0.71969696969697,0.613636363636364,16,0.0913132563889158,-0.242434683361014,3.14640177593947e-05,0.155
105,4,71611453,71631453,71621453,20000,36,0.725806451612903,0.612903225806452,12,0.0370661350414909,-0.193557704068203,-0.0644531771366082,0.257
106,4,71613453,71633453,71623453,20000,37,0.725806451612903,0.612903225806452,12,0.0370661350414909,-0.193557704068203,-0.0644531771366082,0.267
107,4,71615453,71635453,71625453,20000,39,0.7421875,0.6171875,12,0.0380794320277445,-0.187545822978861,-0.0625395983864028,0.219
108,4,71617453,71637453,71627453,20000,44,0.735294117647059,0.632352941176471,12,0.0370661350414909,-0.147075938237437,-0.0588205630538205,0.251
109,4,71619453,71639453,71629453,20000,41,0.717741935483871,0.620967741935484,12,0.0370661350414909,-0.161364000495708,-0.0321843866010662,0.202
110,4,71621453,71641453,71631453,20000,39,0.724137931034483,0.603448275862069,12,0.0370661350414909,-0.206898010187826,-0.0689640587776913,0.102
111,4,71623453,71643453,71633453,20000,43,0.75,0.540322580645161,8,0.0104672181887138,-0.290344909948087,-0.161267993277719,0.006
112,4,71625453,71645453,71635453,20000,40,0.758064516129032,0.532258064516129,12,0.0336488040057491,-0.290351569085045,-0.161267485947774,0.005
113,4,71627453,71647453,71637453,20000,36,0.769230769230769,0.538461538461538,10,0.0184186122437189,-0.307710047863314,-0.153808447759855,0.001
114,4,71629453,71649453,71639453,20000,38,0.785714285714286,0.548076923076923,8,0.0119799512137343,-0.392873176030426,-0.151052567936513,0.003
115,4,71631453,71651453,71641453,20000,39,0.767241379310345,0.537037037037037,8,0.0104672181887138,-0.30914662321056,-0.141679667357906,0.004
116,4,71633453,71653453,71643453,20000,42,0.7734375,0.533333333333333,8,0.0104672181887138,-0.31046892220459,-0.162419026554071,0.006
117,4,71635453,71655453,71645453,20000,44,0.765151515151515,0.548387096774194,12,0.0350615960978655,-0.332438515103393,-0.095800469426949,0.005
118,4,71637453,71657453,71647453,20000,42,0.757575757575758,0.5625,12,0.0370661350414909,-0.285072414545757,-0.110757963039165,0.027
119,4,71639453,71659453,71649453,20000,44,0.757352941176471,0.5546875,12,0.0370661350414909,-0.286803213182839,-0.130460569591851,0.065
