cadena,gamma_Nm,tau_anios,k_top,chi_ms,prob
A,2.6909e+19,2.977,0.1211,0.24324,0.47732
A,1.156e+19,8.9185,0.45206,0.19636,0.61757
A,5.6068e+18,12.218,0.050514,0.31021,0.30033
A,6.5871e+18,13.924,0.54673,0.24992,0.45806
A,1.1588e+19,13.276,0.42051,0.23016,0.51573
A,1.8857e+19,3.0843,0.14368,0.21878,0.54973
A,9.0184e+18,11.855,0.36465,0.2857,0.36049
A,1.0164e+19,11.833,0.27755,0.23898,0.48973
A,9.1632e+18,9.5751,0.090217,0.28329,0.36671
A,8.7133e+18,43.66,0.39105,0.15676,0.73551
A,2.693e+19,3.097,0.1691,0.24046,0.48541
A,1.0076e+19,5.581,0.12766,0.24992,0.45807
A,1.2917e+19,9.8223,0.40517,0.22273,0.53787
A,2.757e+19,2.3462,0.027045,0.26662,0.41125
A,1.4192e+19,12.501,0.35643,0.29153,0.34565
A,8.6574e+18,11.854,0.05474,0.27187,0.39695
A,1.4278e+19,7.1889,0.46699,0.14567,0.76701
A,1.6605e+19,4.0824,0.053065,0.17316,0.68741
A,1.0786e+19,6.9948,0.10097,0.26637,0.41193
A,6.1247e+18,33.771,0.30189,0.27876,0.37857
A,3.7281e+19,1.8876,0.018483,0.11843,0.83918
A,1.531e+19,4.4526,0.1061,0.20589,0.58866
A,8.4479e+18,8.3312,0.1469,0.24045,0.48543
A,1.7105e+19,6.4612,0.18658,0.18239,0.6598
A,9.2291e+18,8.1176,0.037348,0.27296,0.39403
A,1.4874e+19,4.1622,0.105,0.10354,0.87458
A,6.6973e+18,12.785,0.18664,0.27971,0.37608
A,1.1701e+19,6.3954,0.31531,0.18338,0.65682
A,1.718e+19,6.0812,0.36594,0.23677,0.4962
A,1.1372e+19,9.8254,0.052887,0.25253,0.45062
A,1.9359e+19,14.863,1.2851,0.20039,0.60534
A,1.2874e+19,7.3383,0.24395,0.2881,0.35433
A,7.1993e+18,19.379,0.20684,0.30307,0.31722
A,1.5647e+19,18.342,0.9445,0.24729,0.46561
A,5.2394e+18,11.752,0.045401,0.29739,0.33104
A,1.5976e+19,5.9899,0.14127,0.25695,0.43811
A,1.8732e+19,3.701,0.042651,0.12189,0.83051
A,2.5739e+19,9.0111,0.68225,0.23398,0.50444
A,7.4785e+18,12.56,0.11133,0.15786,0.73235
A,8.8224e+18,11.2,0.20224,0.21827,0.55128
A,1.5683e+19,6.9924,0.20366,0.26906,0.40457
A,2.6433e+19,3.1105,0.22274,0.26457,0.41688
A,7.6065e+18,16.057,0.26177,0.24015,0.4863
A,1.6112e+19,8.4213,0.3813,0.2956,0.33545
A,6.6303e+18,19.111,0.09347,0.29454,0.3381
A,2.129e+19,2.4872,0.048164,0.28372,0.36559
A,6.0194e+18,19.43,0.20458,0.28282,0.36795
A,1.0128e+19,9.297,0.11602,0.2149,0.56143
A,1.5046e+19,8.9763,0.168,0.23774,0.49337
A,7.7197e+18,8.6601,0.1309,0.1684,0.70154
A,1.2953e+19,6.9184,0.029939,0.18876,0.6406
A,4.871e+18,47.241,0.11028,0.27463,0.38954
A,9.0994e+18,27.922,0.51553,0.23597,0.49857
A,1.5501e+19,7.9311,0.54052,0.2315,0.51176
A,7.1649e+18,13.449,0.1159,0.30958,0.3018
A,2.0299e+19,13.041,1.1973,0.25661,0.43905
A,2.7291e+19,3.4288,0.087914,0.26742,0.40906
A,7.0522e+18,22.485,0.32945,0.21692,0.55533
A,7.6837e+18,12.972,0.27278,0.29626,0.33382
A,7.1027e+18,19.405,0.19979,0.21016,0.57573
A,2.2391e+19,5.9094,0.59639,0.28188,0.37038
A,1.0305e+19,9.8577,0.23851,0.11831,0.83948
A,8.5702e+18,10.852,0.24396,0.1896,0.63805
A,2.6084e+19,4.1344,0.27487,0.27169,0.39746
A,7.0647e+18,27.246,0.34492,0.23848,0.4912
A,1.335e+19,6.0759,0.14858,0.30146,0.32112
A,1.3894e+19,5.9324,0.33021,0.25534,0.44266
A,1.7971e+19,4.8772,0.085657,0.28039,0.37429
A,1.6927e+19,4.2981,0.17766,0.23251,0.50877
A,1.2239e+19,12.895,0.46753,0.23209,0.51001
A,1.2803e+19,7.703,0.18198,0.24317,0.47753
A,9.3817e+18,10.346,0.22028,0.27836,0.37963
A,7.4854e+18,18.915,0.2644,0.2045,0.59289
A,9.799e+18,8.0106,0.19083,0.3008,0.32272
A,1.1923e+19,5.2306,0.10734,0.26225,0.4233
A,5.8804e+18,9.4501,0.023254,0.28366,0.36575
A,1.4624e+19,7.2539,0.41311,0.3033,0.31667
A,2.6199e+19,2.3731,0.050738,0.20498,0.59144
A,1.4795e+19,11.843,0.96905,0.24233,0.47997
A,2.3329e+19,4.2481,0.14808,0.286,0.35973
A,5.4302e+18,13.937,0.051853,0.23363,0.50546
A,1.634e+19,6.0631,0.42271,0.1666,0.70684
A,1.8583e+19,6.028,0.25161,0.24262,0.47912
A,8.9386e+18,12.172,0.32491,0.2336,0.50555
A,6.5141e+18,19.238,0.12819,0.29059,0.34801
A,1.3492e+19,5.3878,0.16314,0.20269,0.59836
A,1.6964e+19,5.77,0.30361,0.17607,0.67873
A,9.897e+18,8.619,0.11809,0.15069,0.7529
A,5.4799e+18,15.412,0.13569,0.2753,0.38777
A,2.5152e+19,2.6076,0.022041,0.19912,0.60918
A,2.4016e+19,2.0721,0.13793,0.30798,0.30555
A,7.1466e+18,27.07,0.15199,0.3065,0.30905
A,6.4459e+18,19.329,0.080112,0.17152,0.69231
A,4.7079e+18,28.691,0.32648,0.28023,0.37472
A,1.4146e+19,5.1371,0.091712,0.21237,0.56907
A,1.4714e+19,6.1986,0.16451,0.19457,0.62298
A,1.0165e+19,14.115,0.49074,0.084868,0.9139
A,2.6321e+19,3.9996,0.42665,0.28779,0.35513
A,1.6297e+19,4.0836,0.32945,0.26806,0.40731
A,2.5059e+19,3.6453,0.088424,0.20671,0.58618
A,3.0488e+19,2.203,0.015066,0.24806,0.46339
A,2.074e+19,3.264,0.22306,0.30798,0.30555
A,6.817e+18,15.394,0.15988,0.17958,0.66825
A,1.1258e+19,11.094,0.25756,0.25869,0.43322
A,1.4216e+19,7.1976,0.16976,0.30528,0.31195
A,1.8686e+19,3.9921,0.2323,0.25847,0.43385
A,1.202e+19,8.5725,0.075627,0.30365,0.31583
A,6.529e+18,13.223,0.16678,0.22097,0.54318
A,1.0282e+19,6.3429,0.10959,0.22852,0.5206
A,2.256e+19,6.1413,0.51385,0.25343,0.44806
A,1.5005e+19,4.3409,0.063522,0.19793,0.61281
A,8.0808e+18,12.729,0.31828,0.2544,0.4453
A,3.7394e+19,2.5323,0.44621,0.30681,0.30832
A,9.5635e+18,14.309,0.31007,0.26202,0.42393
A,1.1966e+19,7.5069,0.30415,0.20913,0.57886
A,1.4523e+19,6.7182,0.1745,0.3071,0.30761
A,1.2276e+19,7.7701,0.34303,0.12377,0.82572
A,2.497e+19,2.6813,0.13602,0.2268,0.52573
A,2.6329e+19,3.1483,0.3869,0.22583,0.5286
A,1.7765e+19,3.7266,0.31775,0.22693,0.52534
A,1.4662e+19,6.5583,0.099967,0.29096,0.34707
A,1.2478e+19,4.8139,0.1843,0.27809,0.38035
A,3.0426e+19,2.8426,0.22884,0.24744,0.46519
A,1.105e+19,8.4512,0.0611,0.30156,0.32086
A,2.3774e+19,3.5914,0.12785,0.14334,0.7735
A,1.4555e+19,9.1228,0.55531,0.27486,0.38894
A,1.488e+19,5.0268,0.030857,0.24529,0.47138
A,3.0604e+19,2.205,0.041035,0.22322,0.53642
A,9.4245e+18,7.9808,0.167,0.28545,0.36113
A,1.6572e+19,4.251,0.10585,0.20719,0.58474
A,1.2235e+19,5.0461,0.25737,0.24288,0.47837
A,2.2905e+19,6.1084,0.58919,0.25534,0.44264
A,1.26e+19,8.0129,0.30923,0.17266,0.68892
A,1.4137e+19,7.6823,0.39665,0.2889,0.35229
A,3.4095e+19,2.3379,0.27433,0.19026,0.63606
A,1.3896e+19,5.4071,0.043448,0.29481,0.33742
A,6.3143e+18,30.759,0.25184,0.27849,0.3793
A,1.1069e+19,10.21,0.15125,0.19054,0.6352
A,1.0997e+19,7.6575,0.17621,0.24955,0.45913
A,3.5307e+19,2.3514,0.35996,0.20462,0.59254
A,2.1325e+19,3.4288,0.13408,0.30629,0.30954
A,1.7323e+19,5.6458,0.43075,0.22753,0.52355
A,1.3332e+19,5.4231,0.20547,0.28313,0.36714
A,1.4298e+19,5.0188,0.32872,0.26429,0.41765
A,9.2486e+18,11.391,0.13859,0.23936,0.48861
A,1.0467e+19,15.16,0.60649,0.2367,0.49641
A,1.0263e+19,11.552,0.62599,0.19405,0.62456
A,6.6374e+18,8.7475,0.046925,0.30309,0.31719
A,6.6481e+18,34.03,0.25549,0.24778,0.46419
A,8.0739e+18,13.549,0.21535,0.30881,0.30359
A,1.6689e+19,6.193,0.53392,0.27418,0.39076
A,1.1655e+19,8.3548,0.33671,0.29515,0.33659
A,7.6225e+18,33.731,0.20302,0.29553,0.33563
A,1.7534e+19,31.344,1.2197,0.20778,0.58295
A,1.9507e+19,22.241,1.7919,0.29018,0.34904
A,1.8236e+19,21.232,1.3492,0.26733,0.4093
A,8.5728e+18,10.119,0.0047508,0.29799,0.32956
A,1.1328e+19,7.0376,0.45981,0.27777,0.38119
A,1.2437e+19,8.444,0.27357,0.21419,0.56356
A,7.3036e+18,12.295,0.11547,0.26663,0.4112
A,6.0957e+18,13.507,0.099489,0.21226,0.5694
A,1.7209e+19,24.489,1.0666,0.28529,0.36155
A,1.1589e+19,7.988,0.33748,0.22869,0.52009
A,2.1731e+19,2.9463,0.17999,0.2767,0.38403
A,6.7623e+18,11.99,0.063486,0.22398,0.53413
A,3.5743e+19,1.5182,0.020474,0.25351,0.44782
A,1.4871e+19,5.1398,0.22174,0.080187,0.92277
A,1.4139e+19,7.1339,0.19964,0.28816,0.35419
A,1.644e+19,8.4701,0.26569,0.28219,0.36958
A,6.0447e+18,14.14,0.21329,0.28562,0.36069
A,1.4554e+19,6.9109,0.32873,0.13321,0.80108
A,2.8479e+19,2.8427,0.279,0.24076,0.48453
A,2.2624e+19,6.4071,0.85131,0.19393,0.62494
A,8.3499e+18,11.493,0.070604,0.26939,0.40369
A,7.4578e+18,15.034,0.08682,0.28431,0.36407
A,1.0388e+19,12.299,0.30875,0.20231,0.59954
A,1.3175e+19,11.838,0.84102,0.22715,0.52467
A,6.82e+18,11.692,0.10026,0.23839,0.49146
A,6.5473e+18,18.041,0.061222,0.30298,0.31744
A,9.2815e+18,10.983,0.12176,0.26654,0.41147
A,1.085e+19,14.35,0.40137,0.15268,0.74723
A,1.4543e+19,7.3644,0.10438,0.29708,0.33181
A,5.4522e+19,1.2049,0.049507,0.17717,0.67545
A,2.0802e+19,6.0779,0.51938,0.2968,0.3325
A,1.9006e+19,4.9347,0.48362,0.20289,0.59777
A,4.6322e+18,13.272,0.017084,0.26054,0.42806
A,1.5528e+19,6.8054,0.28446,0.12515,0.82219
A,1.1008e+19,7.9785,0.30079,0.27669,0.38406
A,2.2811e+19,4.4958,0.2836,0.21424,0.5634
A,8.4525e+18,7.6425,0.044647,0.26371,0.41925
A,1.8606e+19,7.4815,0.34673,0.19358,0.62599
A,1.146e+19,17.489,0.61421,0.26356,0.41966
A,8.0802e+18,13.413,0.11317,0.25724,0.43729
A,1.5012e+19,4.9376,0.077014,0.30389,0.31525
A,2.226e+19,2.7348,0.24491,0.19574,0.61945
A,1.5087e+19,8.3067,0.43409,0.28569,0.36052
A,4.7658e+18,20.743,0.18438,0.26604,0.41282
A,1.3565e+19,10.679,0.37619,0.26225,0.42328
A,1.3818e+19,11.512,0.68699,0.20711,0.58498
A,2.8499e+19,2.8149,0.10589,0.30573,0.31086
A,1.9188e+19,4.066,0.022734,0.18529,0.65105
A,2.3782e+19,3.1462,0.04336,0.19248,0.62933
A,1.9528e+19,4.1357,0.061376,0.25645,0.43951
A,6.1768e+18,28.913,0.17691,0.25433,0.44552
A,7.2738e+18,15.378,0.12444,0.19447,0.6233
A,7.6556e+18,20.19,0.21952,0.28643,0.35862
A,7.8452e+18,24.74,0.33391,0.28368,0.36571
A,7.724e+18,18.865,0.25968,0.27759,0.38166
A,1.1613e+19,6.0158,0.30088,0.27564,0.38686
A,9.2168e+18,9.7779,0.25793,0.25411,0.44613
A,1.7745e+19,7.1683,0.27453,0.23969,0.48767
A,2.2549e+19,3.6077,0.35216,0.17921,0.66935
A,1.3837e+19,15.409,0.99326,0.26291,0.42146
A,7.6341e+18,12.766,0.16425,0.20445,0.59305
A,8.4411e+18,37.278,0.42869,0.30663,0.30873
A,1.8198e+19,4.496,0.047062,0.21105,0.57307
A,2.3395e+19,3.955,0.022968,0.30546,0.3115
A,1.1533e+19,6.9884,0.11354,0.29764,0.33042
A,2.2766e+19,2.4612,0.16586,0.24814,0.46318
A,3.2724e+19,2.6806,0.1174,0.26949,0.4034
A,1.4945e+19,6.2497,0.18588,0.30683,0.30826
A,1.0849e+19,8.6849,0.23763,0.10341,0.87488
A,2.0615e+19,8.7599,0.64297,0.22014,0.54565
A,1.1465e+19,7.8542,0.20749,0.27155,0.39782
A,9.9337e+18,7.4807,0.27745,0.23128,0.5124
A,1.5366e+19,7.1603,0.29272,0.30527,0.31196
A,1.0105e+19,8.3921,0.12505,0.27288,0.39425
A,1.0898e+19,6.1066,0.12343,0.29294,0.34209
A,2.185e+19,4.0743,0.10699,0.18528,0.65108
A,2.7666e+19,3.1603,0.21843,0.25931,0.43148
A,1.9317e+19,4.8709,0.45541,0.15247,0.74782
A,1.0217e+19,9.9713,0.11582,0.267,0.41021
A,5.6701e+18,19.231,0.039271,0.26903,0.40465
A,8.2797e+18,18.14,0.22095,0.2386,0.49084
A,8.8599e+18,14.764,0.20548,0.28742,0.35607
A,1.521e+19,5.6967,0.10028,0.23948,0.48827
A,1.0694e+19,6.7056,0.27375,0.1688,0.70034
A,6.3479e+18,8.3406,0.0031762,0.27434,0.39033
A,9.9973e+18,7.3469,0.23535,0.16596,0.70872
A,2.11e+19,3.5191,0.15952,0.24307,0.47781
A,1.3087e+19,9.9553,0.27098,0.2841,0.36461
A,2.0784e+19,4.6513,0.37073,0.27694,0.38339
A,1.5102e+19,3.5501,0.057996,0.21045,0.57487
A,1.1568e+19,7.9588,0.28744,0.30246,0.31868
A,7.9156e+18,9.4125,0.12306,0.12072,0.83347
A,1.0271e+19,10.635,0.13954,0.20006,0.60635
A,7.8893e+18,13.482,0.31113,0.11539,0.84668
A,7.2707e+18,6.4457,0.068529,0.27161,0.39767
A,1.7491e+19,4.9061,0.27693,0.22805,0.52201
A,1.3128e+19,6.4987,0.26133,0.21278,0.56783
A,1.1618e+19,8.6791,0.31769,0.29365,0.34031
A,7.1273e+18,13.482,0.043382,0.21746,0.55372
A,2.9142e+19,3.6262,0.27105,0.27444,0.39006
