ciclo,ecoli_log,bsubtilis_log,ms2_log,censurado_limite_deteccion
0,5.95,5.48,4.95,True
4,5.95,5.48,4.95,True
8,5.95,5.48,4.95,True
12,5.95,5.48,4.95,True
16,5.95,5.48,4.95,True
20,5.95,5.48,4.95,True
24,5.95,5.48,4.95,True
28,5.95,5.48,4.95,True
32,5.95,5.48,4.95,True
36,5.95,5.48,4.95,True
40,5.95,5.48,4.95,True
44,5.95,5.48,4.95,True
48,5.95,5.48,4.95,True
52,5.95,5.48,4.95,True
56,5.95,5.48,4.95,True
60,5.95,5.48,4.95,True
64,5.95,5.48,4.95,True
68,5.95,5.48,4.95,True
72,5.95,5.48,4.95,True
76,5.95,5.48,4.95,True
80,5.95,5.48,4.95,True
84,5.95,5.48,4.95,True
88,5.95,5.48,4.95,True
92,5.95,5.48,4.95,True
96,5.95,5.48,4.95,True
100,5.95,5.48,4.95,True
104,5.95,5.48,4.95,True
108,5.95,5.48,4.95,True
112,5.95,5.48,4.95,True
116,5.95,5.48,4.95,True
120,5.95,5.48,4.95,True
