fire_id,year,deaths_attributed,death_cost_usd,earnings_loss_usd,total_pop_smoke_pm
CA3888612004020070623,2007,0.738668595807687,8243541.529213786,11762803.94528313,8696383.501816522
CA3423111709520071022,2007,44.1735432490741,492976742.65966696,703434167.5771247,520057404.508964
CA4013912058220070705,2007,45.47360205942629,507485398.9831973,724136735.670993,535363063.9804834
CA4168112341420070710,2007,4.827233761303524,53871928.77614733,76870472.976014,56831272.209846415
ID4475011554820070717,2007,193.83786566309675,2163230580.80016,3086738523.7543736,2282063196.604005
CA4180412341220070710,2007,0.0930449230740245,1038381.3415061142,1481678.2443918164,1095422.6814854315
MT4688011184020070721,2007,12.615702520495352,140791240.12872812,200896635.138982,148525316.88192177
CA3426711722820071022,2007,12.32409856054275,137536939.93565708,196253036.87305048,145092248.41144845
MT4780711483420070731,2007,14.8850609606495,166117280.32084844,237034652.3291112,175242590.92155442
CA3428911699320070914,2007,1.9759979531779803,22052137.157466263,31466447.40473676,23263525.885854885
MT4648111367820070713,2007,17.69550829808626,197481872.60664263,281789148.752049,208330132.4749961
CA3451511844620071021,2007,1.4851344800270578,16574100.797101969,23649774.49980349,17484564.8825291
CA4197112054520070710,2007,0.0334287994522499,373065.40188710974,532331.3002809434,393558.9812427418
CA3264611677120071021,2007,24.958969830816912,278542103.3119167,397454921.5472152,293843239.97383314
CA3684811827920070706,2007,2.174875022474845,24271605.250819277,34633431.88008673,25604915.886917222
CA3330011692020071023,2007,27.49717304308856,306868451.16086835,437874112.1405193,323725637.39093363
OR4382211938920070706,2007,8.261851436841592,92202262.03515217,131564465.07700856,97267203.36776587
CA3307911676620071021,2007,22.40412518782503,250030037.09612736,356770727.2864449,263764922.13398367
OR4435412173920070830,2007,2.21063125026994,24670644.753012527,35202825.921966486,26025875.80216101
OR4259112058820070315,2007,0.0018898093494644,21090.27234002292,30093.95146602452,22248.8230060612
CA4022012073620070903,2007,45.47360205942629,507485398.9831973,724136735.670993,535363063.9804834
OR4334712249520080817,2008,9.470988533383371,105696232.03255844,148686685.5315341,109925868.44182847
CA3963212131220080708,2008,14.046674211915333,156760884.20497513,220521165.6575472,163033970.11004776
ID4367611512820080807,2008,1.7312881355118277,19321175.592312,27179791.598518997,20094349.30138016
CA4038012294620080907,2008,0.6437019752914445,7183714.04425252,10105588.539023958,7471184.069352332
CA4161412365820080621,2008,41.28805874663504,460774735.612447,648188368.661805,479213515.88625896
CA3430911838220081012,2008,9.357936994308304,104434576.85648067,146911869.8847765,108613725.72645
CA3937612069620080621,2008,1.4345102389102466,16009134.266238352,22520624.117830925,16649770.321765069
CA4086012086020080623,2008,3.1232833004025653,34855841.632492624,49032964.22289632,36250664.64566427
NM3468610638420080415,2008,0.406454742049278,4536034.921269943,6381003.229057074,4717553.014089125
CA3433911846220081114,2008,12.885844523127233,143806024.87809992,202297099.78690192,149560697.3673656
CA3920812059620080621,2008,34.59273993232487,386054977.6447455,543077401.6737509,401503704.2268168
CA4091712133820080622,2008,1.3596210152662278,15173370.530371102,21344925.2553088,15780561.90524276
CA3972212119120080621,2008,47.14615751571333,526151117.8753607,740155673.491753,547206058.8335043
CA3448511986620080701,2008,19.101324742149718,213170784.1223908,299874997.75349605,221701219.81132787
CO3898310819420080708,2008,0.3430186126741056,3828087.717443019,5385108.472506831,3981275.9520301223
CA4083712326320080621,2008,17.755643809357274,198152984.9124272,278748920.26172936,206082454.70973244
CA3613612137820080608,2008,138.18882430597913,1542187279.254727,2169450231.212082,1603900845.962002
NM3155610897620080521,2008,1.047919877132868e-05,116.94785828802806,164.51475227141586,121.627749991725
CA4134912330820080620,2008,36.24392891529178,404482246.6946563,568999702.8356792,420668375.60979176
CA3621212157820080621,2008,140.8617967599367,1572017651.8408935,2211413687.6448674,1634924937.8280923
CA4019412149120080621,2008,18.15717021756346,202634019.62800825,285052552.72618896,210742806.57995328
OR4449812022320080807,2008,0.3284661187523211,3665681.885275904,5156646.355820583,3812371.14059381
OR4452412161020080925,2008,0.796521058808257,8889175.01630015,12504721.73763257,9244892.316475382
CA4105912302720080621,2008,13.1260135399668,146486311.10602948,206067554.682436,152348240.36309955
CA4154112338120080722,2008,84.35973814174206,941454677.6618414,1324378106.085923,979128783.0272012
CA4076312356020080620,2008,6.787778125927294,75751603.8853486,106562501.69770154,78782948.86040294
CA3601612146820080927,2008,10.93676901961562,122054342.25891031,171698226.66543692,126938579.66265024
CA3447411972520090505,2009,2.003971105391211,22364317.53616591,31002767.248766605,22920721.52753558
UT3746611335820090725,2009,5.616258960237606,62677449.99625168,86887265.43243007,64236808.25927007
CA3432711813620090826,2009,83.81039249232379,935323980.2143334,1296602572.999697,958593994.824591
UT3918511210920090805,2009,1.912843497921964,21347333.43680912,29592962.488256104,21878435.78366732
AZ3396711091020090705,2009,0.0311992080182959,348183.16148418275,482672.52054427966,356845.64360393543
AZ3444811094120090807,2009,0.0844747066850832,942737.7266055284,1306879.9558635338,966192.1885201312
AZ3234511064520090711,2009,0.5630989233060083,6284183.984095053,8711515.25604418,6440528.797461142
AZ3315510921020090414,2009,8.576881632518149e-06,95.71799901890256,132.69006936168958,98.09937625582964
CA4083312153420090802,2009,0.1522258985462017,1698841.027775611,2355036.002847424,1741106.6559141993
AZ3483711146220090723,2009,0.0055478979242333,61914.54083444473,85829.67469051703,63454.9186075825
NM3138510881120090610,2009,0.3236185796483369,3611583.3488754407,5006594.893121072,3701436.2758529303
CA3728011858420090718,2009,0.0751321603944436,838474.9100019907,1162344.5444594938,859335.4073471025
OR4334712281020090728,2009,2.7881371380677358,31115610.460835926,43134337.87373976,31889738.704468485
CA3817512022920090726,2009,3.979163664574717,44407466.49665383,61560311.22688072,45512284.09573309
CO3768910866020090807,2009,0.5366284614382708,5988773.629651102,8301999.586858614,6137768.90060264
UT4060311265520090806,2009,0.4192905338034181,4679282.357246147,6486703.72249744,4795698.669798815
AZ3521611224320091002,2009,0.0124949482544496,139443.62251965763,193305.16866033387,142912.85371866537
WA4792712041620091004,2009,0.2262867795487083,2525360.4597635847,3500807.141853479,2588189.1437682426
CA4070212143920090801,2009,2.7445008993168205,30628630.03637572,42459256.20715948,31390642.647530317
OR4345712228420090912,2009,3.5810624439965912,39964656.87500196,55401420.287869856,40958941.38929626
CA3431011754120091003,2009,0.2400881565555779,2679383.82716025,3714323.633136885,2746044.4732288127
CA3403511698620090830,2009,2.574010326941869,28725955.248671263,39821653.539521344,29440631.032111567
AZ3506011210720090701,2009,0.0555850902164831,620329.606815952,859938.3543241775,635762.8463341717
CA3493612002720090808,2009,21.83157241108205,243640348.1076757,337748960.7083132,249701899.5914884
OR4418312154220100802,2010,6.586489464274256,73505222.4213007,100519665.68886256,74315406.97022948
AZ3455611124520100717,2010,0.198627642051994,2216684.485300253,3031354.454285684,2241117.082885591
AZ3414910941720101120,2010,0.0101785326505746,113592.42438041345,155339.6091785407,114844.45551611818
