wavelength_um,bin_width_um,eclipse_depth_ppm,err_plus_ppm,err_minus_ppm
5.3645,0.3045,559.9,34.9,35.4
5.9735,0.3045,587.6,35.2,35.5
6.5825,0.3045,640.3,40.2,39.7
7.1915,0.3045,678.5,42.8,43.2
7.8005,0.3045,726.8,49.2,48.4
8.4095,0.3045,882.5,58.4,56.9
9.0185,0.3045,846.4,65.1,65.2
9.6275,0.3045,866.6,69.6,69.2
10.2365,0.3045,861.0,81.7,81.9
10.8455,0.3045,720.2,122.2,122.0
11.4545,0.3045,716.5,190.9,191.3
12.0635,0.3045,1050.2,313.0,310.1
