paper_id,human_mean,human_std,n_reviewers,decision,decision_numeric,accepted,claude_overall,claude_soundness,claude_presentation,claude_contribution,claude_confidence,claude_originality,claude_quality,claude_clarity,claude_significance,claude_decision,gpt4o_overall,gpt4o_soundness,gpt4o_presentation,gpt4o_contribution,gpt4o_confidence,gpt4o_originality,gpt4o_quality,gpt4o_clarity,gpt4o_significance,gpt4o_decision,claude_accepted,gpt4o_accepted
tDirSp3pczB,6.8,1.0954451150103321,5,Reject,0,0,8,4,4,4,4,4,4,4.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
YDud6vPh2V,5.0,0.0,4,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
xZ6H7wydGl,5.333333333333333,0.5773502691896258,3,Accept (Poster),1,1,8,4,3,4,4,4,3,3.0,4,Accept,5,3,3,3,4,4,3,3,3,Reject,1,0
CNY9h3uyfiO,4.25,1.5,4,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
fXHl76nO2AZ,6.5,1.0,4,Accept (Poster),1,1,7,3,3,3,4,4,3,4.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
bglU8l_Pq8Q,5.0,1.4142135623730951,4,Reject,0,0,8,4,4,4,4,3,4,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
cU8rknuhxc,7.5,1.0,4,Accept (Spotlight),2,1,7,3,4,3,4,4,3,4.0,4,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
HFPTzdwN39,5.5,2.0816659994661326,4,Accept (Poster),1,1,7,4,4,4,4,4,3,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
EJKLVMB_9T,6.0,1.4142135623730951,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
MWQCPYSJRN,4.75,1.2583057392117916,4,Reject,0,0,7,3,4,3,4,3,4,4.0,3,Accept,7,3,3,3,4,3,3,3,4,Reject,1,0
8CEJlHbKoP4,4.75,1.2583057392117916,4,Reject,0,0,6,3,3,3,4,4,3,3.0,3,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
WVX0NNVBBkV,7.0,1.1547005383792515,4,Accept (Poster),1,1,8,4,3,4,4,4,4,4.0,4,Accept,7,4,3,3,4,4,4,3,4,Accept,1,1
74x5BXs4bWD,6.25,1.2583057392117916,4,Accept (Poster),1,1,7,3,4,3,4,3,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Accept,1,1
4tOrvK-fFOR,5.75,0.5,4,Reject,0,0,7,3,3,3,4,4,3,4.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
xFOyMwWPkz,6.25,1.2583057392117916,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
gPvB4pdu_Z,7.333333333333333,1.1547005383792517,3,Accept (Spotlight),2,1,8,4,4,4,4,4,4,4.0,4,Accept,7,3,3,3,4,3,3,3,3,Accept,1,1
Eot1M5o2Zy,2.25,2.5,4,Reject,0,0,5,3,3,3,4,3,2,2.0,3,Reject,3,2,2,2,4,3,2,2,3,Reject,0,0
rxF4IN3R2ml,5.333333333333333,0.5773502691896258,3,Reject,0,0,8,4,3,4,4,4,4,3.0,4,Accept,7,4,3,4,4,4,4,3,4,Accept,1,1
jJOjjiZHy3h,6.5,1.0,4,Accept (Poster),1,1,8,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Accept,1,1
Jjcv9MTqhcq,5.75,0.5,4,Accept (Poster),1,1,8,3,3,3,4,3,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
9jsZiUgkCZP,6.333333333333333,1.5275252316519465,3,Accept (Poster),1,1,7,3,3,3,4,4,3,4.0,3,Accept,6,3,3,3,4,3,3,3,3,Accept,1,1
Ve0Wth3ptT_,6.5,1.0,4,Accept (Poster),1,1,7,3,3,4,4,4,3,3.0,4,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
aYSlxlHKEA,5.0,0.0,3,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,4,3,2,2,4,2,3,2,3,Reject,1,0
buSCIu6izBY,2.3333333333333335,1.1547005383792515,3,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
CC-BbehJKTe,2.5,1.0,4,Reject,0,0,7,3,2,3,4,3,3,3.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
AUszBTiYBB6,3.0,0.0,3,Reject,0,0,6,3,3,3,4,2,3,3.0,3,Accept,3,2,2,2,4,3,2,2,3,Reject,1,0
7gWSJrP3opB,8.0,0.0,4,Accept (Spotlight),2,1,7,4,3,4,4,4,4,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
04pGUg0-pdZ,6.8,1.0954451150103321,5,Accept (Spotlight),2,1,7,4,3,4,4,4,4,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
B2pZkS2urk_,3.5,1.0,4,Reject,0,0,4,3,3,2,3,2,2,2.0,2,Reject,4,2,2,2,4,3,2,2,3,Reject,0,0
iMqTLyfwnOO,6.0,0.0,4,Accept (Poster),1,1,8,4,3,4,4,4,4,3.0,4,Accept,7,3,3,3,4,4,3,3,4,Accept,1,1
yx_uIzoHJv,3.5,1.0,4,Reject,0,0,5,3,3,2,4,3,2,3.0,3,Accept,4,2,2,2,4,3,2,2,2,Reject,1,0
4pijrj4H_B,5.75,2.0615528128088303,4,Reject,0,0,7,4,3,3,4,3,4,4.0,4,Accept,6,3,3,3,4,3,3,3,4,Accept,1,1
vh-0sUt8HlG,6.333333333333333,1.5275252316519465,3,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
0rjx6jy25R4,4.0,2.0,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
7B3IJMM1k_M,6.5,1.0,4,Accept (Poster),1,1,8,4,3,4,4,4,4,4.0,4,Accept,7,3,3,3,4,4,3,3,4,Accept,1,1
k7efTb0un9z,6.4,0.8944271909999159,5,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
hcoswsDHNAW,6.5,1.7320508075688772,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
