genome_name,phylum,class,order,family,genus,species,is_methanogen
Xie-10373-RGIG7034.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,,True
Xie-10373-RGIG7098.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017539065,True
Xie-10373-RGIG7141.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,True
Xie-10373-RGIG7435.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,True
Xie-10373-RGIG8065.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp016282555,True
Xie-10373-RGIG8197.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp017616575,True
Xie-10373-RGIG8206.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,,,True
Xie-10373-RGIG8234.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,,True
Xie-10373-RGIG8706.deleuk.fa,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum sp017622255,True
Xie-10373-RGIG8874.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017940815,True
Xie-10373-RGIG9098.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp017935945,True
Xie-10373-RGIG9316.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,SIG5,,True
Xie-10373-RGIG9610.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,True
Xie-10373-RGIG9617.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,,True
Xie-10373-RGIG9618.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,True
Xie-10373-RGIG9811.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,,True
Xie-10373-RGIG9905.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp017646885,True
Xie-435-MAG319.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A thaueri_B,True
Culture-221-174.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,True
Culture-221-175.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp001548675,True
Culture-221-176.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp001563305,True
Culture-221-177.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A gottschalkii,True
Culture-221-194.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A thaueri,True
Culture-221-195.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A woesei,True
Culture-221-25.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_B,Methanobrevibacter_B boviskoreani,True
Culture-221-28.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp000350305,True
Culture-221-42.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,True
Culture-221-53.deleuk.fa,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,True
Culture-221-62.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A millerae_A,True
Culture-221-63.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter olleyae,True
Culture-221-64.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp001560915,True
Culture-221-8.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium,True
Lin-1904-MAG401.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,,True
Lin-1904-MAG419.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp902787415,True
Parks-969-002498445.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900320515,True
Seshadri-410-3368440.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_B,Methanobrevibacter_B wolinii,True
Seshadri-410-3433023.deleuk.fa,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,Methanomicrobium mobile,True
Seshadri-410-3614300.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A millerae,True
Seshadri-410-3637178.deleuk.fa,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina thermophila,True
Stewart-4941-RUG10252.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp900314635,True
Stewart-4941-RUG10414.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900314615,True
Stewart-4941-RUG10470.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900318035,True
Stewart-4941-RUG10898.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp902763685,True
Stewart-4941-RUG10921.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902764015,True
Stewart-4941-RUG11428.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp902769175,True
Stewart-4941-RUG11674.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902771435,True
Stewart-4941-RUG12789.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902782595,True
Stewart-4941-RUG12946.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp902784195,True
Stewart-4941-RUG13199.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A thaueri,True
Stewart-4941-RUG13354.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902788255,True
Stewart-4941-RUG13374.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp001481295,True
Stewart-4941-RUG13973.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902794475,True
Stewart-4941-RUG14110.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,CADBMS01,CADBMS01 sp902795935,True
Stewart-4941-RUG14233.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp902797085,True
Stewart-4941-RUG14349.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900314695,True
Stewart-4941-RUG14697.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902801725,True
Stewart-4941-RUG14734.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900317865,True
Svartstrom-99-104bin48.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp937906425,True
Tong-4960-MAG0101.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017434525,True
Tong-4960-MAG0496.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,,True
Tong-4960-MAG0711.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,,True
Tong-4960-MAG0729.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,,True
Tong-4960-MAG1077.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanarcanum,Methanarcanum hacksteinii,True
Tong-4960-MAG1113.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp945492685,True
Tong-4960-MAG1414.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A smithii,True
Tong-4960-MAG1438.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,SIG5,,True
Tong-4960-MAG1486.deleuk.fa,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,Methanimicrococcus sp017613335,True
Tong-4960-MAG1493.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,JAKSHX01,,True
Tong-4960-MAG1604.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,SIG5,,True
Tong-4960-MAG1633.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,JAKSHX01,,True
Tong-4960-MAG1746.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,SIG5,,True
Tong-4960-MAG1762.deleuk.fa,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,Methanomicrobium sp017553245,True
Tong-4960-MAG1813.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,,,True
Tong-4960-MAG1912.deleuk.fa,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum sp017555685,True
Tong-4960-MAG2090.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,,True
Tong-4960-MAG2091.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,,True
Tong-4960-MAG2455.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,JAKSHX01,,True
Tong-4960-MAG3530.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,SIG5,,True
Tong-4960-MAG3994.deleuk.fa,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum vombati,True
Tong-4960-MAG4153.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,JAKSHX01,,True
Xie-10373-RGIG10011.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,True
Xie-10373-RGIG10222.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,SIG5,,True
Xie-10373-RGIG10329.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,,True
Xie-10373-RGIG1506.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp902787415,True
Xie-10373-RGIG1513.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,SIG5,SIG5 sp017395275,True
Xie-10373-RGIG1551.deleuk.fa,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,Methanomicrobium sp017412625,True
Xie-10373-RGIG1591.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp015063135,True
Xie-10373-RGIG1678.deleuk.fa,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum sp017399555,True
Xie-10373-RGIG2071.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp017410345,True
Xie-10373-RGIG2112.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017409525,True
Xie-10373-RGIG2143.deleuk.fa,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum sp017408885,True
Xie-10373-RGIG2195.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,SIG5,SIG5 sp015063195,True
Xie-10373-RGIG2231.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017407115,True
Xie-10373-RGIG2247.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017406825,True
Xie-10373-RGIG2383.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp017404125,True
Xie-10373-RGIG2528.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp017432245,True
Xie-10373-RGIG2541.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017431965,True
Xie-10373-RGIG2546.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp017431845,True
Xie-10373-RGIG2559.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp003268005,True
Xie-10373-RGIG2595.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp017430835,True
Xie-10373-RGIG2827.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,,,True
Xie-10373-RGIG3160.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,True
Xie-10373-RGIG3602.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanarcanum,Methanarcanum sp017455785,True
Xie-10373-RGIG3983.deleuk.fa,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,,True
Glendinning-391-5577idba112.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_B,Methanobrevibacter_B sp905235195,True
Glendinning-391-5577idba78.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp905235495,True
Lin-1904-MAG910.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp902784195,True
Lin-1904-MAG942.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp900314635,True
Parks-969-002509095.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp900322125,True
Parks-969-002509725.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp11921u,True
Stewart-4941-RUG10376.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900320955,True
Stewart-4941-RUG10534.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp900321995,True
Stewart-4941-RUG10962.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902764455,True
Stewart-4941-RUG11794.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902772665,True
Stewart-4941-RUG11987.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902774605,True
Stewart-4941-RUG11990.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp902774685,True
Stewart-4941-RUG12411.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900319535,True
Stewart-4941-RUG12835.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902783085,True
Stewart-4941-RUG13476.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902789505,True
Stewart-4941-RUG14185.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902796575,True
Stewart-4941-RUG14364.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_B,Methanobrevibacter_B sp900314605,True
Stewart-4941-RUG14577.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900316895,True
Stewart-4941-RUG14594.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900319985,True
Tong-4960-MAG2223.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,,True
Tong-4960-MAG2225.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902777885,True
Tong-4960-MAG2444.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp900313645,True
Tong-4960-MAG2635.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp902785855,True
Xie-10373-RGIG2257.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,,True
Xie-10373-RGIG2413.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017434525,True
Xie-10373-RGIG2750.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017427765,True
Xie-10373-RGIG3247.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017434555,True
Xie-10373-RGIG3316.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017447225,True
Xie-10373-RGIG4352.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017460025,True
Xie-10373-RGIG4506.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017468685,True
Xie-10373-RGIG5743.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,,True
Xie-10373-RGIG5759.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,,True
Xie-10373-RGIG7892.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A sp017553445,True
Xie-10373-RGIG8680.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A millerae_B,True
Xie-10373-RGIG9293.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,,True
Xie-10373-RGIG9632.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp017652345,True
Xie-10373-RGIG9718.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,True
Xie-435-MAG260.deleuk.fa,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp016291275,True
