especie,familia
Agriades lehanus,Lycaenidae
Agriades optilete,Lycaenidae
Agriades orbitulus,Lycaenidae
Aguna glaphyrus,Hesperiidae
Aides duma,Hesperiidae
Alera furcata,Hesperiidae
Alera metallica,Hesperiidae
Alesa prema,Riodinidae
Allotinus drumila,Lycaenidae
Allotinus nivalis,Lycaenidae
Alpherakya devanica,Lycaenidae
Altinote momina,Nymphalidae
Amauris tartarea,Nymphalidae
Amblyscirtes hegon,Hesperiidae
Amblyscirtes vialis,Hesperiidae
Ampittia dioscorides,Hesperiidae
Ampittia virgata,Hesperiidae
Anaea troglodyta,Nymphalidae
Anartia amathea,Nymphalidae
Anartia chrysopelea,Nymphalidae
Anartia jatrophae,Nymphalidae
Anastrus sempiternus,Hesperiidae
Anatrytone perfida,Hesperiidae
Ancema blanka,Lycaenidae
Ancema ctesia,Lycaenidae
Ancistroides nigrita,Hesperiidae
Ancyloxypha nitedula,Hesperiidae
Ancyloxypha numitor,Hesperiidae
Andronymus neander,Hesperiidae
Anetia thirza,Nymphalidae
Anisochoria minorella,Hesperiidae
Anisochoria pedaliodina,Hesperiidae
Anisochoria subpicta,Hesperiidae
Anteos clorinde,Pieridae
Anteos maerula,Pieridae
Anteros formosus,Riodinidae
Anthanassa frisia,Nymphalidae
Anthanassa texana,Nymphalidae
Anthene emolus,Lycaenidae
Anthene hodsoni,Lycaenidae
Anthene indefinita,Lycaenidae
Anthene lycaenoides,Lycaenidae
Anthene princeps,Lycaenidae
Anthene seltuttus,Lycaenidae
Anthene sylvanus,Lycaenidae
Anthocharis belia,Pieridae
Anthocharis cardamines,Pieridae
Anthocharis damone,Pieridae
Anthocharis euphenoides,Pieridae
Anthocharis gruneri,Pieridae
Anthocharis scolymus,Pieridae
Antigonus erosus,Hesperiidae
Antigonus minor,Hesperiidae
Antigonus nearchus,Hesperiidae
Apatura ilia,Nymphalidae
Apatura iris,Nymphalidae
Apatura laverna,Nymphalidae
Aphantopus hyperantus,Nymphalidae
Aphnaeus hutchinsonii,Lycaenidae
Aphrissa orbis,Pieridae
Aphrissa statira,Pieridae
Aporia crataegi,Pieridae
Aporia leucodice,Pieridae
Appia appia,Hesperiidae
Appias aurosa,Pieridae
Appias celestina,Pieridae
Appias indra,Pieridae
Appias lalage,Pieridae
Appias lyncida,Pieridae
Appias paulina,Pieridae
Appias sabina,Pieridae
Araschnia burejana,Nymphalidae
Araschnia levana,Nymphalidae
Arawacus dolylas,Lycaenidae
Arawacus ellida,Lycaenidae
Arawacus hypocrita,Lycaenidae
Arawacus jada,Lycaenidae
Archaeoprepona camilla,Nymphalidae
Archaeoprepona chalciope,Nymphalidae
Archaeoprepona demophon,Nymphalidae
Archaeoprepona meander,Nymphalidae
Archigenes savitri,Riodinidae
Arethusana arethusa,Nymphalidae
Argynnis adippe,Nymphalidae
Argynnis aglaja,Nymphalidae
Argynnis diana,Nymphalidae
Argynnis hyperbius,Nymphalidae
Argynnis idalia,Nymphalidae
Argynnis laodice,Nymphalidae
Argynnis nerippe,Nymphalidae
Argynnis niobe,Nymphalidae
Argynnis pandora,Nymphalidae
Argynnis paphia,Nymphalidae
Argyrophorus chiliensis,Nymphalidae
Argyrophorus monticolens,Nymphalidae
Arhopala abseus,Lycaenidae
Arhopala agaba,Lycaenidae
Arhopala bazalus,Lycaenidae
Arhopala dispar,Lycaenidae
Arhopala ganesa,Lycaenidae
Arhopala japonica,Lycaenidae
Arhopala oenea,Lycaenidae
Ariadne merione,Nymphalidae
Aricia agestis,Lycaenidae
Aricia artaxerxes,Lycaenidae
Aricia myrmecias,Lycaenidae
Aricia nicias,Lycaenidae
Aricoris cinericia,Riodinidae
Aricoris indistincta,Riodinidae
Aricoris montana,Riodinidae
Artines satyr,Hesperiidae
Arzecla taminella,Lycaenidae
Ascia monuste,Pieridae
Aslauga kwakui,Lycaenidae
Astictopterus jama,Hesperiidae
Astictopterus olivascens,Hesperiidae
Astraptes alardus,Hesperiidae
Astraptes anaphus,Hesperiidae
Astraptes cretatus,Hesperiidae
Astraptes creteus,Hesperiidae
Astraptes erycina,Hesperiidae
Astraptes fulgor,Hesperiidae
Atalopedes campestris,Hesperiidae
Atalopedes mesogramma,Hesperiidae
Athyma cama,Nymphalidae
Athyma jina,Nymphalidae
Athyma opalina,Nymphalidae
Athyma perius,Nymphalidae
Athyma punctata,Nymphalidae
Athyma selenophora,Nymphalidae
Athyma zeroca,Nymphalidae
Atlantea cryptadia,Nymphalidae
Atlides atys,Lycaenidae
Atlides cosa,Lycaenidae
Atrophaneura dasarada,Papilionidae
Atrytone arogos,Hesperiidae
Atrytonopsis hianna,Hesperiidae
Aubergina vanessoides,Lycaenidae
Aulocera brahminus,Nymphalidae
Aulocera pumilus,Nymphalidae
Autochton integrifascia,Hesperiidae
Autochton neis,Hesperiidae
Autochton zarex,Hesperiidae
Auzakia danava,Nymphalidae
Azanus jesous,Lycaenidae
Azanus natalensis,Lycaenidae
Azanus ubaldus,Lycaenidae
Badecla badaca,Lycaenidae
Baeotis melanis,Riodinidae
Baeotus beotus,Nymphalidae
Baoris pagana,Hesperiidae
Baoris penicillata,Hesperiidae
Baronia brevicornis,Papilionidae
Battus crassus,Papilionidae
Battus eracon,Papilionidae
Battus laodamas,Papilionidae
Battus philenor,Papilionidae
Battus polydamas,Papilionidae
Battus zetides,Papilionidae
Bebearia cocalia,Nymphalidae
Bebearia oshogbo,Nymphalidae
Bebearia wojtusiaki,Nymphalidae
Belenois aurota,Pieridae
Belenois calypso,Pieridae
Bibasis sena,Hesperiidae
Biblis hyperia,Nymphalidae
Bicyclus evadne,Nymphalidae
Bicyclus milyas,Nymphalidae
Bicyclus ottosoni,Nymphalidae
Bindahara phocides,Lycaenidae
Blepolenis batea,Nymphalidae
Blepolenis catharinae,Nymphalidae
Boloria aquilonaris,Nymphalidae
Boloria bellona,Nymphalidae
Boloria chariclea,Nymphalidae
Boloria dia,Nymphalidae
Boloria eunomia,Nymphalidae
Boloria euphrosyne,Nymphalidae
Boloria freija,Nymphalidae
Boloria frigga,Nymphalidae
Boloria pales,Nymphalidae
Boloria perryi,Nymphalidae
Boloria polaris,Nymphalidae
Boloria selene,Nymphalidae
Boloria selenis,Nymphalidae
Boloria thore,Nymphalidae
Borbo borbonica,Hesperiidae
Borbo gemella,Hesperiidae
Brangas neora,Lycaenidae
Brangas silumena,Lycaenidae
Brenthis daphne,Nymphalidae
Brenthis hecate,Nymphalidae
Brenthis ino,Nymphalidae
Brephidium exilis,Lycaenidae
Brevianta celelata,Lycaenidae
Brevioleria seba,Nymphalidae
Brintesia circe,Nymphalidae
Bungalotis clusia,Hesperiidae
Burara amara,Hesperiidae
Burara gomata,Hesperiidae
Burara jaina,Hesperiidae
Burara oedipodea,Hesperiidae
Burara striata,Hesperiidae
Burara vasutana,Hesperiidae
Byblia ilithyia,Nymphalidae
Cacyreus marshalli,Lycaenidae
Caenides benga,Hesperiidae
Calephelis azteca,Riodinidae
Calephelis braziliensis,Riodinidae
Calephelis browni,Riodinidae
Calephelis montezuma,Riodinidae
Calephelis muticum,Riodinidae
Calephelis perditalis,Riodinidae
Calephelis tikal,Riodinidae
Caligo brasiliensis,Nymphalidae
Caligo eurilochus,Nymphalidae
Caligo illioneus,Nymphalidae
Caligo teucer,Nymphalidae
Calinaga buddha,Nymphalidae
Calisto israeli,Nymphalidae
Callerebia dibangensis,Nymphalidae
Callerebia hyagriva,Nymphalidae
Callerebia nirmala,Nymphalidae
Callicore astarte,Nymphalidae
Callicore lyca,Nymphalidae
Callicore sorana,Nymphalidae
Callophrys avis,Lycaenidae
Callophrys coerulescens,Lycaenidae
Callophrys irus,Lycaenidae
Callophrys niphon,Lycaenidae
Callophrys polios,Lycaenidae
Callophrys rubi,Lycaenidae
Callophrys spinetorum,Lycaenidae
Calpodes ethlius,Hesperiidae
Caltoris cahira,Hesperiidae
Caltoris philippina,Hesperiidae
Caltoris plebeia,Hesperiidae
Caltoris sirius,Hesperiidae
Caltoris tulsi,Hesperiidae
Calydna sturnula,Riodinidae
Candalides erinus,Lycaenidae
Candalides margarita,Lycaenidae
Capila translucida,Hesperiidae
Caprona ransonnetii,Hesperiidae
Capronnieria galesus,Nymphalidae
Carcharodus alceae,Hesperiidae
Carcharodus baeticus,Hesperiidae
Carcharodus floccifera,Hesperiidae
Carcharodus lavatherae,Hesperiidae
Caria plutargus,Riodinidae
Caria tabrenthia,Riodinidae
Carterocephalus palaemon,Hesperiidae
Carterocephalus silvicola,Hesperiidae
Carystus phorcus,Hesperiidae
Castalius rosimon,Lycaenidae
Castilia eranites,Nymphalidae
Castilia myia,Nymphalidae
Catapaecilma major,Lycaenidae
Catasticta flisa,Pieridae
Catasticta lycurgus,Pieridae
Catasticta nimbice,Pieridae
Catasticta teutila,Pieridae
Catasticta uricoecheae,Pieridae
Catoblepia amphirhoe,Nymphalidae
Catoblepia berecynthia,Nymphalidae
Catoblepia xanthicles,Nymphalidae
Catochrysops amasea,Lycaenidae
Catochrysops strabo,Lycaenidae
Catocyclotis aemulius,Riodinidae
Catocyclotis leucarpis,Riodinidae
Catocyclotis sejuncta,Riodinidae
Catonephele acontius,Nymphalidae
Catonephele mexicana,Nymphalidae
Catonephele numilia,Nymphalidae
Catonephele sabrina,Nymphalidae
Catopsilia florella,Pieridae
Catopsilia pomona,Pieridae
Catopsilia pyranthe,Pieridae
Catopsilia scylla,Pieridae
Celaenorrhinus dhanada,Hesperiidae
Celaenorrhinus eligius,Hesperiidae
Celaenorrhinus pyrrha,Hesperiidae
Celaenorrhinus ratna,Hesperiidae
Celaenorrhinus similis,Hesperiidae
Celaenorrhinus vietnamicus,Hesperiidae
Celastrina argiolus,Lycaenidae
Celastrina huegelii,Lycaenidae
Celastrina ladon,Lycaenidae
Celastrina sugitanii,Lycaenidae
Celatoxia marginata,Lycaenidae
Celmia celmus,Lycaenidae
Celmia uzza,Lycaenidae
Cephetola daveyi,Lycaenidae
Cephetola praecox,Lycaenidae
Cephetola wologizi,Lycaenidae
Cephrenes augiades,Hesperiidae
Cephrenes trichopepla,Hesperiidae
Cepora nadina,Pieridae
Cepora nerissa,Pieridae
Cercyonis pegala,Nymphalidae
Cethosia cyane,Nymphalidae
Chalcone santarus,Hesperiidae
Chalodeta theodora,Riodinidae
Chalybs chloris,Lycaenidae
Chalybs janias,Lycaenidae
Chamaelimnas briola,Riodinidae
Chamunda chamunda,Hesperiidae
Charana cepheis,Lycaenidae
Charaxes aristogiton,Nymphalidae
Charaxes boueti,Nymphalidae
Charaxes brutus,Nymphalidae
Charaxes castor,Nymphalidae
Charaxes fulvescens,Nymphalidae
Charaxes imperialis,Nymphalidae
Charaxes jasius,Nymphalidae
Charaxes kahruba,Nymphalidae
Charaxes numenes,Nymphalidae
Charaxes solon,Nymphalidae
Charaxes tiridates,Nymphalidae
Charaxes wakefieldi,Nymphalidae
Charonias theano,Pieridae
Chazara briseis,Nymphalidae
Chazara prieuri,Nymphalidae
Cheritra freja,Lycaenidae
Chillanella stelligera,Nymphalidae
Chiomara asychis,Hesperiidae
Chitoria ulupi,Nymphalidae
Chlorostrymon simaethis,Lycaenidae
Chlosyne ehrenbergii,Nymphalidae
Chlosyne gaudialis,Nymphalidae
Chlosyne gorgone,Nymphalidae
Chlosyne harrisii,Nymphalidae
Chlosyne janais,Nymphalidae
Chlosyne lacinia,Nymphalidae
Chlosyne leanira,Nymphalidae
Chlosyne melanarge,Nymphalidae
Choaspes benjaminii,Hesperiidae
Choaspes furcata,Hesperiidae
Choaspes xanthopogon,Hesperiidae
Chrysozephyrus syla,Lycaenidae
Cigaritis acamas,Lycaenidae
Cigaritis cilissa,Lycaenidae
Cigaritis ictis,Lycaenidae
Cigaritis mozambica,Lycaenidae
Cobalopsis catocala,Hesperiidae
Cobalopsis nero,Hesperiidae
Cobalopsis vorgia,Hesperiidae
Coeliades chalybe,Hesperiidae
Coeliades forestan,Hesperiidae
Coeliades libeon,Hesperiidae
Coeliades pisistratus,Hesperiidae
Coenonympha amaryllis,Nymphalidae
Coenonympha arcania,Nymphalidae
Coenonympha dorus,Nymphalidae
Coenonympha glycerion,Nymphalidae
Coenonympha hero,Nymphalidae
Coenonympha myops,Nymphalidae
Coenonympha nolckeni,Nymphalidae
Coenonympha oedippus,Nymphalidae
Coenonympha pamphilus,Nymphalidae
Coenonympha rhodopensis,Nymphalidae
Coenonympha tullia,Nymphalidae
Cogia cerradicola,Hesperiidae
Coladenia agni,Hesperiidae
Coladenia buchananii,Hesperiidae
Coladenia indrani,Hesperiidae
Colias alfacariensis,Pieridae
Colias canadensis,Pieridae
Colias caucasica,Pieridae
Colias chrysotheme,Pieridae
Colias croceus,Pieridae
Colias electo,Pieridae
Colias erate,Pieridae
Colias fieldii,Pieridae
Colias hecla,Pieridae
Colias hyale,Pieridae
Colias ladakensis,Pieridae
Colias myrmidone,Pieridae
Colias nastes,Pieridae
Colias palaeno,Pieridae
Colias poliographus,Pieridae
Colias rankinensis,Pieridae
Colias thisoa,Pieridae
Colias tyche,Pieridae
Colotis aurigineus,Pieridae
Colotis chrysonome,Pieridae
Colotis euippe,Pieridae
Colotis evagore,Pieridae
Colotis fausta,Pieridae
Colotis liagore,Pieridae
Colotis phisadia,Pieridae
Conga chydaea,Hesperiidae
Conga iheringii,Hesperiidae
Conga immaculata,Hesperiidae
Conga urqua,Hesperiidae
Conga zela,Hesperiidae
Consul electra,Nymphalidae
Consul fabius,Nymphalidae
Copaeodes jean,Hesperiidae
Corades medeba,Nymphalidae
Corticea immocerinus,Hesperiidae
Corticea lysias,Hesperiidae
Corticea mendica,Hesperiidae
Corticea obscura,Hesperiidae
Creon cleobis,Lycaenidae
Ctenoptilum vasava,Hesperiidae
Cumbre cumbre,Hesperiidae
Cupha erymanthis,Nymphalidae
Cupido alcetas,Lycaenidae
Cupido argiades,Lycaenidae
Cupido comyntas,Lycaenidae
Cupido decolorata,Lycaenidae
Cupido lacturnus,Lycaenidae
Cupido lorquinii,Lycaenidae
Cupido minimus,Lycaenidae
Curetis acuta,Lycaenidae
Cyaniris semiargus,Lycaenidae
Cyanophrys acaste,Lycaenidae
Cyanophrys bertha,Lycaenidae
Cyanophrys goodsoni,Lycaenidae
Cyanophrys longula,Lycaenidae
Cybdelis phaesyla,Nymphalidae
Cyclargus ammon,Lycaenidae
Cycloglypha stellita,Hesperiidae
Cycloglypha thrasibulus,Hesperiidae
Cyllopsis hedemanni,Nymphalidae
Cyllopsis pyracmon,Nymphalidae
Cyllopsis suivalens,Nymphalidae
Cymaenes gisca,Hesperiidae
Cymaenes laureolus,Hesperiidae
Cymaenes lepta,Hesperiidae
Cymaenes perloides,Hesperiidae
Cymaenes tripunctata,Hesperiidae
Cymothoe caenis,Nymphalidae
Cymothoe excelsa,Nymphalidae
Cymothoe fumana,Nymphalidae
Cynea popla,Hesperiidae
Cyrestis cocles,Nymphalidae
Cyrestis thyodamas,Nymphalidae
Dacalana penicilligera,Lycaenidae
Dachetola azora,Riodinidae
Daimio tethys,Hesperiidae
Dalla jelskyi,Hesperiidae
Dalla lalage,Hesperiidae
Dalla scylla,Hesperiidae
Danaus affinis,Nymphalidae
Danaus chrysippus,Nymphalidae
Danaus eresimus,Nymphalidae
Danaus genutia,Nymphalidae
Danaus gilippus,Nymphalidae
Danaus melanippus,Nymphalidae
Danaus plexippus,Nymphalidae
Dardarina gaucha,Hesperiidae
Dardarina rana,Hesperiidae
Darpa inopinata,Hesperiidae
Darpa striata,Hesperiidae
Dasyophthalma rusina,Nymphalidae
Decinea dama,Hesperiidae
Decinea decinea,Hesperiidae
Decinea percosius,Hesperiidae
Delias acalis,Pieridae
Delias agostina,Pieridae
Delias argenthona,Pieridae
Delias aruna,Pieridae
Delias berinda,Pieridae
Delias diaphana,Pieridae
Delias eucharis,Pieridae
Delias lewini,Pieridae
Dercas verhuelli,Pieridae
Deudorix dinomenes,Lycaenidae
Deudorix diovis,Lycaenidae
Deudorix epijarbas,Lycaenidae
Deudorix epirus,Lycaenidae
Deudorix livia,Lycaenidae
Deudorix similis,Lycaenidae
Diaethria anna,Nymphalidae
Diaethria bacchis,Nymphalidae
Diaethria clymena,Nymphalidae
Dichorragia nesimachus,Nymphalidae
Dicya eumorpha,Lycaenidae
Dilipa morgiana,Nymphalidae
Dione juno,Nymphalidae
Dione moneta,Nymphalidae
Discophora sondaica,Nymphalidae
Discophora timora,Nymphalidae
Dismorphia amphione,Pieridae
Dismorphia astyocha,Pieridae
Dismorphia melia,Pieridae
Dismorphia thermesina,Pieridae
Dismorphia theucharila,Pieridae
Dodona egeon,Riodinidae
Dodona eugenes,Riodinidae
Dodona ouida,Riodinidae
Doleschallia bisaltide,Nymphalidae
Doxocopa agathina,Nymphalidae
Doxocopa kallina,Nymphalidae
Doxocopa laure,Nymphalidae
Doxocopa linda,Nymphalidae
Dryas iulia,Nymphalidae
Dynamine aerata,Nymphalidae
Dynamine agacles,Nymphalidae
Dynamine athemon,Nymphalidae
Dynamine ines,Nymphalidae
Dynamine mylitta,Nymphalidae
Dynamine postverta,Nymphalidae
Dynamine serina,Nymphalidae
Dynamine sideria,Nymphalidae
Dynastor napoleon,Nymphalidae
Dyscophellus ramusis,Hesperiidae
Elymnias hypermnestra,Nymphalidae
Elymnias penanga,Nymphalidae
Elymnias sansoni,Nymphalidae
Emesis angularis,Riodinidae
Emesis aurimna,Riodinidae
Emesis cereus,Riodinidae
Emesis mandana,Riodinidae
Emesis neemias,Riodinidae
Emesis russula,Riodinidae
Emesis tenedia,Riodinidae
Emesis zela,Riodinidae
Enantia mazai,Pieridae
Epargyreus exadeus,Hesperiidae
Epargyreus socus,Hesperiidae
Ephyriades arcas,Hesperiidae
Epiphile adrasta,Nymphalidae
Epiphile eriopis,Nymphalidae
Epiphile iblis,Nymphalidae
Epiphile orea,Nymphalidae
Episcada philoclea,Nymphalidae
Episcada salvinia,Nymphalidae
Erebia aethiops,Nymphalidae
Erebia cassioides,Nymphalidae
Erebia disa,Nymphalidae
Erebia embla,Nymphalidae
Erebia epiphron,Nymphalidae
Erebia epistygne,Nymphalidae
Erebia eriphyle,Nymphalidae
Erebia euryale,Nymphalidae
Erebia gorge,Nymphalidae
Erebia lefebvrei,Nymphalidae
Erebia ligea,Nymphalidae
Erebia manto,Nymphalidae
Erebia medusa,Nymphalidae
Erebia meolans,Nymphalidae
Erebia montanus,Nymphalidae
Erebia neoridas,Nymphalidae
Erebia oeme,Nymphalidae
Erebia pandrose,Nymphalidae
Erebia pluto,Nymphalidae
Erebia pronoe,Nymphalidae
Erebia rossii,Nymphalidae
Erebia triarius,Nymphalidae
Erebia tyndarus,Nymphalidae
Erebia zapateri,Nymphalidae
Eresia clio,Nymphalidae
Eresia phillyra,Nymphalidae
Eretis lugens,Hesperiidae
Erionota thrax,Hesperiidae
Erionota torus,Hesperiidae
Erora biblia,Lycaenidae
Erora gabina,Lycaenidae
Erynnis juvenalis,Hesperiidae
Erynnis marloyi,Hesperiidae
Erynnis martialis,Hesperiidae
Erynnis persius,Hesperiidae
Erynnis tages,Hesperiidae
Erynnis zarucco,Hesperiidae
Eryphanis reevesii,Nymphalidae
Erysichton lineata,Lycaenidae
Esakiozephyrus icana,Lycaenidae
Eteona tisiphone,Nymphalidae
Ethope himachala,Nymphalidae
Euchloe ausonia,Pieridae
Euchloe bazae,Pieridae
Euchloe belemia,Pieridae
Euchloe crameri,Pieridae
Euchloe falloui,Pieridae
Euchloe penia,Pieridae
Euchloe simplonia,Pieridae
Euchloe tagis,Pieridae
Euchrysops cnejus,Lycaenidae
Euchrysops crawshayi,Lycaenidae
Euchrysops malathana,Lycaenidae
Eueides aliphera,Nymphalidae
Eueides isabella,Nymphalidae
Eueides lineata,Nymphalidae
Eumedonia eumedon,Lycaenidae
Eumedonia kogistana,Lycaenidae
Eunica macris,Nymphalidae
Eunica maja,Nymphalidae
Eunica malvina,Nymphalidae
Eunica margarita,Nymphalidae
Eunica monima,Nymphalidae
Eunica tatila,Nymphalidae
Euphaedra ceres,Nymphalidae
Euphaedra medon,Nymphalidae
Euphaedra simplex,Nymphalidae
Euphaedra themis,Nymphalidae
Euphydryas aurinia,Nymphalidae
Euphydryas chalcedona,Nymphalidae
Euphydryas davidi,Nymphalidae
Euphydryas desfontainii,Nymphalidae
Euphydryas editha,Nymphalidae
Euphydryas gillettii,Nymphalidae
Euphydryas iduna,Nymphalidae
Euphydryas maturna,Nymphalidae
Euphydryas phaeton,Nymphalidae
Euphyes bimacula,Hesperiidae
Euphyes conspicua,Hesperiidae
Euphyes dion,Hesperiidae
Euphyes singularis,Hesperiidae
Euploea darchia,Nymphalidae
Euploea eunice,Nymphalidae
Euploea klugii,Nymphalidae
Euploea mulciber,Nymphalidae
Euploea radamanthus,Nymphalidae
Euploea tulliolus,Nymphalidae
Euptoieta claudia,Nymphalidae
Euptoieta hegesia,Nymphalidae
Euptoieta hortensia,Nymphalidae
Euptychia atlantica,Nymphalidae
Euptychoides castrensis,Nymphalidae
Eurema albula,Pieridae
Eurema alitha,Pieridae
Eurema andersonii,Pieridae
Eurema arbela,Pieridae
Eurema blanda,Pieridae
Eurema brigitta,Pieridae
Eurema daira,Pieridae
Eurema desjardinsii,Pieridae
Eurema elathea,Pieridae
Eurema floricola,Pieridae
Eurema hapale,Pieridae
Eurema hecabe,Pieridae
Eurema laeta,Pieridae
Eurema lucina,Pieridae
Eurema mandarina,Pieridae
Eurema mexicana,Pieridae
Eurema salome,Pieridae
Eurema senegalensis,Pieridae
Eurema xantochlora,Pieridae
Euripus consimilis,Nymphalidae
Euripus nyctelius,Nymphalidae
Euryades corethrus,Papilionidae
Eurybia halimede,Riodinidae
Eurybia lycisca,Riodinidae
Eurybia pergaea,Riodinidae
Eurytides dolicaon,Papilionidae
Eurytides serville,Papilionidae
Euselasia crinon,Riodinidae
Euselasia modesta,Riodinidae
Euselasia zara,Riodinidae
Euthalia lubentina,Nymphalidae
Euthalia monina,Nymphalidae
Euthalia nara,Nymphalidae
Euthalia phemius,Nymphalidae
Euthalia teuta,Nymphalidae
Euthalia whiteheadi,Nymphalidae
Evenus coronata,Lycaenidae
Evenus latreillii,Lycaenidae
Evenus regalis,Lycaenidae
Everes sebrus,Lycaenidae
Falcuna lybia,Lycaenidae
Faunis canens,Nymphalidae
Faunis eumeus,Nymphalidae
Faunula euripides,Nymphalidae
Faunula leucoglene,Nymphalidae
Flos asoka,Lycaenidae
Forsterinaria pronophila,Nymphalidae
Fountainea eurypyle,Nymphalidae
Fountainea glycerium,Nymphalidae
Fountainea nobilis,Nymphalidae
Freyeria putli,Lycaenidae
Freyeria trochylus,Lycaenidae
Gallio carasta,Hesperiidae
Gangara thyrsis,Hesperiidae
Ganyra phaloe,Pieridae
Gegenes pumilio,Hesperiidae
Gerosis sinica,Hesperiidae
Gesta austerus,Hesperiidae
Glaucopsyche alexis,Lycaenidae
Glaucopsyche charybdis,Lycaenidae
Glaucopsyche lycormas,Lycaenidae
Glaucopsyche lygdamus,Lycaenidae
Glutophrissa drusilla,Pieridae
Glutophrissa punctifera,Pieridae
Godartiana byses,Nymphalidae
Godartiana muscosa,Nymphalidae
Gonepteryx cleopatra,Pieridae
Gonepteryx farinosa,Pieridae
Gonepteryx mahaguru,Pieridae
Gonepteryx maxima,Pieridae
Gonepteryx rhamni,Pieridae
Gorgythion begga,Hesperiidae
Grais stigmaticus,Hesperiidae
Graphium agamemnon,Papilionidae
Graphium agetes,Papilionidae
Graphium chironides,Papilionidae
Graphium doson,Papilionidae
Graphium eurous,Papilionidae
Graphium macleayanus,Papilionidae
Graphium megarus,Papilionidae
Graphium sarpedon,Papilionidae
Greta annette,Nymphalidae
Greta cubana,Nymphalidae
Greta diaphanus,Nymphalidae
Greta morgane,Nymphalidae
Gretna bugoma,Hesperiidae
Haematera pyrame,Nymphalidae
Halpe arcuata,Hesperiidae
Halpe gamma,Hesperiidae
Halpe porus,Hesperiidae
Halpe zema,Hesperiidae
Hamadryas amphinome,Nymphalidae
Hamadryas arete,Nymphalidae
Hamadryas februa,Nymphalidae
Hamadryas feronia,Nymphalidae
Hamadryas iphthime,Nymphalidae
Hamadryas laodamia,Nymphalidae
Hamearis lucina,Riodinidae
Hansa hyboma,Hesperiidae
Harveyope tinea,Riodinidae
Hasora chromus,Hesperiidae
Hasora khoda,Hesperiidae
Hasora taminatus,Hesperiidae
Hasora vitta,Hesperiidae
Hebomoia glaucippe,Pieridae
Helcyra subalba,Nymphalidae
Helcyra superba,Nymphalidae
Heliconius besckei,Nymphalidae
Heliconius charithonia,Nymphalidae
Heliconius erato,Nymphalidae
Heliconius hecale,Nymphalidae
Heliconius hortense,Nymphalidae
Heliconius ismenius,Nymphalidae
Heliconius sara,Nymphalidae
Heliopetes arsalte,Hesperiidae
Heliopetes laviana,Hesperiidae
Heliopetes purgia,Hesperiidae
Heliophorus androcles,Lycaenidae
Heliophorus ila,Lycaenidae
Heliophorus indicus,Lycaenidae
Heliopyrgus domicella,Hesperiidae
Hemadara narasingha,Nymphalidae
Hemiargus hanno,Lycaenidae
Heraclides androgeus,Papilionidae
Heraclides cresphontes,Papilionidae
Heraclides hectorides,Papilionidae
Heraclides homothoas,Papilionidae
Heraclides isidorus,Papilionidae
Heraclides ornythion,Papilionidae
Heraclides rogeri,Papilionidae
Heraclides thoas,Papilionidae
Hermeuptychia hermes,Nymphalidae
Hesperia comma,Hesperiidae
Hesperia dacotae,Hesperiidae
Hesperia leonardus,Hesperiidae
Hesperia metea,Hesperiidae
Hesperia ottoe,Hesperiidae
Hesperia sassacus,Hesperiidae
