seqnames,start_hg19,end_hg19,width,strand,ID,COLO320DM,GBM39,K562
chr1,674001,675000,1000,*,1,1,0,0
chr1,778001,779000,1000,*,2,1,0,0
chr1,846001,847000,1000,*,3,1,0,0
chr1,1137001,1138000,1000,*,4,1,0,1
chr1,1318001,1319000,1000,*,5,1,0,0
chr1,1725001,1726000,1000,*,6,1,0,0
chr1,2116001,2117000,1000,*,7,1,0,0
chr1,2783001,2784000,1000,*,8,1,0,0
chr1,3026001,3027000,1000,*,9,1,0,0
chr1,3288001,3289000,1000,*,10,1,0,0
chr1,4717001,4718000,1000,*,11,1,0,0
chr1,5347001,5348000,1000,*,12,1,0,0
chr1,6266001,6267000,1000,*,13,1,0,1
chr1,6642001,6643000,1000,*,14,1,0,0
chr1,7533001,7534000,1000,*,15,1,0,0
chr1,7619001,7620000,1000,*,16,1,0,0
chr1,9051001,9052000,1000,*,17,1,0,0
chr1,9963001,9964000,1000,*,18,1,0,0
chr1,10948001,10949000,1000,*,19,1,0,0
chr1,11811001,11812000,1000,*,20,1,0,0
chr1,11935001,11936000,1000,*,21,1,0,0
chr1,12252001,12253000,1000,*,22,1,0,0
chr1,13955001,13956000,1000,*,23,1,0,0
chr1,13984001,13985000,1000,*,24,1,0,1
chr1,14190001,14191000,1000,*,25,1,0,0
chr1,15628001,15629000,1000,*,26,1,0,0
chr1,15747001,15748000,1000,*,27,1,0,0
chr1,16299001,16300000,1000,*,28,1,0,0
chr1,16342001,16343000,1000,*,29,1,0,0
chr1,16742001,16743000,1000,*,30,1,0,0
chr1,17019001,17020000,1000,*,31,1,0,1
chr1,17053001,17054000,1000,*,32,1,0,0
chr1,17401001,17402000,1000,*,33,1,0,0
chr1,17474001,17475000,1000,*,34,1,0,0
chr1,17677001,17678000,1000,*,35,1,0,0
chr1,19004001,19005000,1000,*,36,1,0,0
chr1,19689001,19690000,1000,*,37,1,0,0
chr1,20411001,20412000,1000,*,38,1,0,0
chr1,20997001,20998000,1000,*,39,1,0,0
chr1,22016001,22017000,1000,*,40,1,0,0
chr1,23863001,23864000,1000,*,41,1,0,0
chr1,24400001,24401000,1000,*,42,1,0,0
chr1,24916001,24917000,1000,*,43,1,0,0
chr1,25236001,25237000,1000,*,44,1,0,0
chr1,25461001,25462000,1000,*,45,1,0,0
chr1,25621001,25622000,1000,*,46,1,0,0
chr1,25632001,25633000,1000,*,47,1,0,0
chr1,25883001,25884000,1000,*,48,1,0,0
chr1,26159001,26160000,1000,*,49,1,0,0
chr1,26365001,26366000,1000,*,50,1,0,0
chr1,27147001,27148000,1000,*,51,1,0,0
chr1,27414001,27415000,1000,*,52,1,0,0
chr1,27429001,27430000,1000,*,53,1,0,0
chr1,28091001,28092000,1000,*,54,1,0,0
chr1,28295001,28296000,1000,*,55,1,0,0
chr1,28430001,28431000,1000,*,56,1,0,0
chr1,29458001,29459000,1000,*,57,1,0,0
chr1,29775001,29776000,1000,*,58,1,0,0
chr1,29776001,29777000,1000,*,59,1,0,0
chr1,30539001,30540000,1000,*,60,1,0,0
chr1,30666001,30667000,1000,*,61,1,0,0
chr1,31364001,31365000,1000,*,62,1,0,0
chr1,32251001,32252000,1000,*,63,1,0,0
chr1,32267001,32268000,1000,*,64,1,0,0
chr1,32844001,32845000,1000,*,65,1,0,0
chr1,33337001,33338000,1000,*,66,1,0,0
chr1,33338001,33339000,1000,*,67,1,0,0
chr1,34317001,34318000,1000,*,68,1,0,0
chr1,35212001,35213000,1000,*,69,1,0,0
chr1,37242001,37243000,1000,*,70,1,0,0
chr1,37243001,37244000,1000,*,71,1,0,0
chr1,37382001,37383000,1000,*,72,1,0,0
chr1,37425001,37426000,1000,*,73,1,0,0
chr1,37535001,37536000,1000,*,74,1,0,0
chr1,37872001,37873000,1000,*,75,1,0,0
chr1,37903001,37904000,1000,*,76,1,0,0
chr1,39094001,39095000,1000,*,77,1,0,0
chr1,39095001,39096000,1000,*,78,1,0,0
chr1,41986001,41987000,1000,*,79,1,0,0
chr1,42583001,42584000,1000,*,80,1,0,0
chr1,42619001,42620000,1000,*,81,1,0,0
chr1,42620001,42621000,1000,*,82,1,0,0
chr1,44477001,44478000,1000,*,83,1,0,0
chr1,44496001,44497000,1000,*,84,1,0,1
chr1,44734001,44735000,1000,*,85,1,0,0
chr1,45886001,45887000,1000,*,86,1,0,0
chr1,49242001,49243000,1000,*,87,1,0,1
chr1,51774001,51775000,1000,*,88,1,0,0
chr1,52880001,52881000,1000,*,89,1,0,0
chr1,54588001,54589000,1000,*,90,1,0,0
chr1,54623001,54624000,1000,*,91,1,0,0
chr1,54624001,54625000,1000,*,92,1,0,0
chr1,55316001,55317000,1000,*,93,1,0,0
chr1,55813001,55814000,1000,*,94,1,0,0
chr1,56531001,56532000,1000,*,95,1,0,0
chr1,57650001,57651000,1000,*,96,1,0,0
chr1,58231001,58232000,1000,*,97,1,0,0
chr1,58830001,58831000,1000,*,98,1,0,0
chr1,60689001,60690000,1000,*,99,1,0,0
chr1,62758001,62759000,1000,*,100,1,0,0
chr1,63743001,63744000,1000,*,101,1,0,0
chr1,64246001,64247000,1000,*,102,1,0,0
chr1,68972001,68973000,1000,*,103,1,0,0
chr1,70260001,70261000,1000,*,104,1,0,0
chr1,71723001,71724000,1000,*,105,1,0,1
chr1,74236001,74237000,1000,*,106,1,0,0
chr1,75024001,75025000,1000,*,107,1,0,0
chr1,76090001,76091000,1000,*,108,1,0,0
chr1,84505001,84506000,1000,*,109,1,0,0
chr1,84881001,84882000,1000,*,110,1,0,0
chr1,88698001,88699000,1000,*,111,1,0,0
