project_id,carb_buffer_fraction,fire_risk_fraction,drought_risk_fraction,insect_risk_fraction,total_natural_risk_fraction
CAR1141,0.008866,0,0.00906059035699655,0.00357121328634099,0.0126318036433375
ACR282,0.259465,0.264814243903188,0.0786481822028282,0.0901322750439312,0.433594701149947
CAR1339,0.458595,0.79405530752385,0.16767761459547,0.243403040373401,1.20513596249272
ACR378,0.064174,0.111150398913817,0.00835122002531696,0.028111598330117,0.147613217269251
CAR1139,0.438465,0,0.275244781322121,0.108487171511351,0.383731952833472
CAR1368,0.074914,0.813319529206068,0.0414024635539358,0.197933663725755,1.05265565648576
ACR377,0.070003,0.219257098308024,0.0111509660245241,0.053355433666393,0.283763497998941
CAR1070,0.112502,2.13978132953063,0.108824886809304,0.520708162560683,2.76931437890062
CAR993,0.048331,0.760953012357929,0.038700508455794,0.185175204303156,0.984828725116879
CAR1067,0.000834,0.19470655367097,0.00990237571094278,0.047381146101865,0.251990075483778
CAR1191,0.229752,0,0.117373608982733,0.046262569584249,0.163636178566982
ACR189,0.011226,0.156949626039476,0.00798213586257207,0.0381931322896105,0.203124894191659
CAR1329,0.09509,0.397736336813764,0.0253709480092753,0.0988147817509089,0.521922066573948
CAR1313,0.06998,0,0.0120093560221207,0.00473346328404293,0.0167428193061636
CAR1100,0.094904,0,0.0870262767150359,0.0343012302090816,0.121327506924118
CAR1103,0.055866,0.113942324516278,0.00691335680523895,0.0281683069070147,0.149023988228532
CAR1190,0.097431,0,0.0419388031893431,0.0165300940956202,0.0584688972849633
CAR1104,0.060556,0.30091029663497,0.0153036801093304,0.07322544855121,0.38943942529551
ACR200,0.02841,0,0.0102276284132994,0.00403119896587409,0.0142588273791734
ACR262,0.170264,0.262624398700343,0.0499024331556354,0.0783132020807285,0.390840033936707
ACR292,0.043458,0,0.0285843851202843,0.0112664773377179,0.0398508624580022
CAR1098,0.201969,0,0.128480484160096,0.0506403218763501,0.179120806036447
CAR1046,0.162796,0.904045781340915,0.0459779130077905,0.219996319799661,1.17002001414837
ACR182,0.010434,0,0.0111558369900064,0.00439705049110857,0.015552887481115
CAR1140,0.077963,0,0.0939455698188398,0.0370284555322429,0.130974025351083
CAR1099,0.090676,0,0.0680496414535408,0.0268216279640064,0.0948712694175472
CAR1180,0.210313,0,0.0479547726512087,0.0189012762400426,0.0668560488912512
CAR1013,0.217588,0,0.0875491549023706,0.0345073215846072,0.122056476486978
ACR173,0.008015,0.293846101157776,0.0149444096256624,0.0715064017513644,0.380296912534803
CAR1095,0.423257,0.791127839595372,0.0402351382393548,0.192518140999328,1.02388111883405
CAR1174,0.05393,0.213399062439614,0.0108530383430799,0.0519299015098323,0.276182002292526
CAR1330,0.040499,0,0.00887660637288032,0.0034986963726895,0.0123753027455698
CAR1102,0.040928,0.115283633172844,0.00803625068518901,0.0289104086528168,0.15223029251085
ACR570,0.006463,0.00876085894460586,0.000262078360392272,0.00182393539351026,0.0108468726985084
CAR1041,0.127424,1.65209201029273,0.0840220089489697,0.402030704347444,2.13814472358914
ACR423,0.004936,0.00629871538575737,0.000162521022286504,0.00131133830579524,0.00777257471383911
ACR274,0.160528,8.3474310355315,0.424533210498405,2.03131760083497,10.8032818468649
CAR1094,0.011737,0.0291013431312495,0.000750880099503386,0.00605864905158116,0.035910872282334
CAR1066,0.058173,0.878573915807009,0.0446824662042813,0.213797832077524,1.13705421408881
CAR1381,0.338711,4.61959217339766,0.23494297685335,1.12416129591955,5.97869644617055
ACR260,0.428109,0.839007473884674,0.00406538680733132,0.379791821734687,1.22286468242669
ACR273,0.207579,7.4822210884246,0.0553111659297514,3.76192990809102,11.2994621624454
ACR554,0.072827,0.307798833074665,0.0142254356884237,0.0990765649321593,0.421100833695248
ACR255,2.021577,10.5724609814374,0.15879691545031,3.38186746717806,14.1131253640657
CAR1314,0.134483,2.34893479461487,0.0352806787968904,0.751365853076019,3.13558132648778
ACR741,0.001361,1.4000551349375,0.0877191559686902,0.276586679467734,1.76436097037393
CAR1332,0.122935,0.259528648638169,0.00165085040684728,0.246650764868774,0.507830263913791
CAR1297,0.047661,0.0709676755373788,0.000451422286705719,0.0674462397276904,0.138865337551775
ACR303,0.900227,5.47040555749318,0.762685989058196,1.34309600326421,7.57618754981559
ACR211,0.691669,4.32622967974185,0.603164560197409,1.06217751700423,5.9915717569435
CAR1183,0.713859,2.95326131321065,1.10185756947753,1.53382371263681,5.58894259532498
ACR638,0.338526,0.868735637444816,0.328729589042967,1.46216598458845,2.65963121107623
ACR257,0.04159,0.0676511612371386,0.0213969185477372,0.00696118523025855,0.0960092650151344
ACR416,0.619533,0.384169264292535,0.339431198395456,0.50410702337918,1.22770748606717
CAR1086,0.029793,0.0883102653769024,0.0680802529454944,0.0396302477840621,0.196020766106459
VCSOPR10,0.018696,0.017512907684537,0.0159982766601363,0.00143847214282958,0.0349496564875029
